Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Botafogo (RJ),17.0,11.0,4.0,2.0,28.0,11.0,17.0,37.0,2.18,28.9,14.8,14.1,0.83,1.7,0.8705882352941177,-0.05294117647058827,0.22352941176470587,17.0,9.0,5.0,3.0,24.0,15.0,9.0,32.0,1.88,23.1,17.1,6.0,0.35,1.3588235294117648,1.0058823529411764,0.05294117647058827,0.12352941176470589
Palmeiras,17.0,12.0,2.0,3.0,33.0,12.0,21.0,38.0,2.24,34.7,13.5,21.1,1.24,2.0411764705882356,0.7941176470588235,-0.10000000000000031,0.08823529411764697,17.0,8.0,5.0,4.0,23.0,16.0,7.0,29.0,1.71,26.5,19.4,7.1,0.42,1.5588235294117647,1.1411764705882352,-0.2058823529411764,0.19999999999999996
Fortaleza,17.0,13.0,4.0,0.0,29.0,8.0,21.0,43.0,2.53,24.6,12.3,12.4,0.73,1.447058823529412,0.723529411764706,0.25882352941176445,0.25294117647058834,17.0,5.0,6.0,6.0,20.0,26.0,-6.0,21.0,1.24,15.5,29.4,-14.0,-0.82,0.9117647058823529,1.7294117647058822,0.26470588235294124,0.19999999999999996
Flamengo,17.0,10.0,4.0,3.0,25.0,17.0,8.0,34.0,2.0,24.6,15.3,9.2,0.54,1.447058823529412,0.9,0.0235294117647058,-0.09999999999999998,17.0,8.0,4.0,5.0,28.0,21.0,7.0,28.0,1.65,24.7,22.1,2.6,0.16,1.4529411764705882,1.3,0.1941176470588235,0.06470588235294117
Internacional,17.0,10.0,5.0,2.0,26.0,13.0,13.0,35.0,2.06,30.9,13.6,17.3,1.02,1.8176470588235294,0.7999999999999999,-0.28823529411764715,0.03529411764705881,17.0,7.0,6.0,4.0,21.0,15.0,6.0,27.0,1.59,21.7,16.3,5.5,0.32,1.276470588235294,0.9588235294117647,-0.04117647058823515,0.07647058823529418
São Paulo,17.0,12.0,2.0,3.0,28.0,14.0,14.0,38.0,2.24,21.5,14.5,7.0,0.41,1.2647058823529411,0.8529411764705882,0.38235294117647056,0.02941176470588236,17.0,5.0,5.0,7.0,20.0,21.0,-1.0,20.0,1.18,16.7,15.2,1.6,0.09,0.9823529411764705,0.8941176470588235,0.19411764705882362,-0.3411764705882354
Cruzeiro,17.0,10.0,4.0,3.0,27.0,13.0,14.0,34.0,2.0,23.9,15.8,8.1,0.48,1.4058823529411764,0.9294117647058824,0.1823529411764706,0.16470588235294126,17.0,3.0,4.0,10.0,12.0,24.0,-12.0,13.0,0.76,11.7,24.3,-12.6,-0.74,0.6882352941176471,1.4294117647058824,0.01764705882352946,0.01764705882352935
Bahia,17.0,10.0,2.0,5.0,22.0,14.0,8.0,32.0,1.88,23.5,14.7,8.8,0.52,1.3823529411764706,0.8647058823529411,-0.08823529411764697,0.04117647058823526,17.0,3.0,5.0,9.0,22.0,30.0,-8.0,14.0,0.82,21.6,23.5,-1.9,-0.11,1.2705882352941178,1.3823529411764706,0.0235294117647058,-0.38235294117647056
Corinthians,17.0,8.0,8.0,1.0,31.0,17.0,14.0,32.0,1.88,24.7,16.9,7.8,0.46,1.4529411764705882,0.9941176470588234,0.37058823529411766,-0.005882352941176561,17.0,3.0,3.0,11.0,10.0,25.0,-15.0,12.0,0.71,16.8,24.0,-7.1,-0.42,0.9882352941176471,1.411764705882353,-0.4,-0.05882352941176472
Vasco da Gama,17.0,9.0,4.0,4.0,25.0,22.0,3.0,31.0,1.82,17.9,19.8,-1.8,-0.11,1.052941176470588,1.1647058823529413,0.4176470588235297,-0.12941176470588234,17.0,3.0,3.0,11.0,11.0,28.0,-17.0,12.0,0.71,14.7,28.3,-13.6,-0.8,0.8647058823529411,1.6647058823529413,-0.2176470588235293,0.01764705882352957
Atlético Mineiro,17.0,6.0,7.0,4.0,24.0,23.0,1.0,25.0,1.47,20.8,20.6,0.2,0.01,1.223529411764706,1.211764705882353,0.18823529411764706,-0.14117647058823524,17.0,4.0,6.0,7.0,18.0,24.0,-6.0,18.0,1.06,19.0,21.3,-2.3,-0.13,1.1176470588235294,1.2529411764705882,-0.05882352941176472,-0.1588235294117648
Vitória,17.0,7.0,2.0,8.0,20.0,22.0,-2.0,23.0,1.35,21.4,21.3,0.1,0.01,1.2588235294117647,1.2529411764705882,-0.08235294117647052,-0.04117647058823537,17.0,5.0,3.0,9.0,19.0,26.0,-7.0,18.0,1.06,15.5,18.0,-2.6,-0.15,0.9117647058823529,1.0588235294117647,0.20588235294117652,-0.47058823529411753
Grêmio,17.0,8.0,2.0,7.0,24.0,22.0,2.0,26.0,1.53,22.2,19.7,2.5,0.15,1.3058823529411765,1.1588235294117646,0.10588235294117654,-0.135294117647059,17.0,3.0,5.0,9.0,16.0,22.0,-6.0,14.0,0.82,17.2,24.1,-6.9,-0.41,1.011764705882353,1.4176470588235295,-0.07058823529411762,0.12352941176470589
Ath Paranaense,17.0,7.0,3.0,7.0,22.0,18.0,4.0,24.0,1.41,27.1,19.9,7.2,0.42,1.5941176470588236,1.1705882352941175,-0.30000000000000004,0.11176470588235277,17.0,4.0,4.0,9.0,15.0,23.0,-8.0,16.0,0.94,15.9,21.5,-5.7,-0.33,0.9352941176470588,1.2647058823529411,-0.05294117647058827,-0.08823529411764719
Fluminense,17.0,6.0,7.0,4.0,19.0,16.0,3.0,25.0,1.47,18.5,20.6,-2.2,-0.13,1.088235294117647,1.211764705882353,0.02941176470588247,0.2705882352941178,17.0,4.0,1.0,12.0,11.0,22.0,-11.0,13.0,0.76,13.8,20.6,-6.8,-0.4,0.8117647058823529,1.211764705882353,-0.16470588235294115,-0.08235294117647052
Juventude,17.0,8.0,5.0,4.0,26.0,22.0,4.0,29.0,1.71,21.4,22.0,-0.6,-0.04,1.2588235294117647,1.2941176470588236,0.2705882352941176,0.0,17.0,1.0,6.0,10.0,16.0,32.0,-16.0,9.0,0.53,16.6,32.0,-15.4,-0.9,0.9764705882352942,1.8823529411764706,-0.03529411764705892,0.0
Criciúma,17.0,5.0,8.0,4.0,20.0,20.0,0.0,23.0,1.35,19.2,20.1,-0.9,-0.05,1.1294117647058823,1.1823529411764706,0.04705882352941182,0.00588235294117645,17.0,4.0,2.0,11.0,19.0,29.0,-10.0,14.0,0.82,15.6,28.2,-12.6,-0.74,0.9176470588235294,1.6588235294117646,0.20000000000000007,-0.04705882352941182
Red Bull Bragantino,17.0,7.0,6.0,4.0,21.0,17.0,4.0,27.0,1.59,17.8,20.1,-2.4,-0.14,1.0470588235294118,1.1823529411764706,0.18823529411764706,0.1823529411764706,17.0,1.0,7.0,9.0,14.0,24.0,-10.0,10.0,0.59,17.2,21.5,-4.3,-0.25,1.011764705882353,1.2647058823529411,-0.18823529411764706,-0.1470588235294119
Cuiabá,17.0,3.0,5.0,9.0,14.0,19.0,-5.0,14.0,0.82,14.2,18.3,-4.1,-0.24,0.8352941176470587,1.076470588235294,-0.0117647058823529,-0.04117647058823537,17.0,3.0,6.0,8.0,12.0,24.0,-12.0,15.0,0.88,13.6,25.4,-11.7,-0.69,0.7999999999999999,1.4941176470588236,-0.09411764705882342,0.08235294117647052
Atl Goianiense,17.0,4.0,5.0,8.0,13.0,22.0,-9.0,17.0,1.0,20.3,19.3,1.0,0.06,1.1941176470588235,1.1352941176470588,-0.4294117647058824,-0.1588235294117648,17.0,2.0,3.0,12.0,11.0,30.0,-19.0,9.0,0.53,16.0,26.0,-10.1,-0.59,0.9411764705882353,1.5294117647058822,-0.2941176470588235,-0.23529411764705888
