Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Bayern Munich,3.0,3.0,0.0,0.0,12.0,3.0,9.0,9.0,3.0,6.8,2.1,4.6,1.54,2.2666666666666666,0.7000000000000001,1.7333333333333334,-0.29999999999999993,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0,3.0,4.1,0.6,3.4,1.72,2.05,0.3,0.9500000000000002,0.3
Eint Frankfurt,2.0,2.0,0.0,0.0,5.0,0.0,5.0,6.0,3.0,5.4,1.5,3.9,1.97,2.7,0.75,-0.20000000000000018,0.75,3.0,2.0,1.0,0.0,11.0,3.0,8.0,7.0,2.33,7.2,2.4,4.8,1.6,2.4,0.7999999999999999,1.2666666666666666,-0.20000000000000007
Wolfsburg,3.0,2.0,1.0,0.0,13.0,4.0,9.0,7.0,2.33,8.6,3.1,5.5,1.83,2.8666666666666667,1.0333333333333334,1.4666666666666663,-0.2999999999999998,2.0,1.0,0.0,1.0,1.0,3.0,-2.0,3.0,1.5,4.2,2.7,1.5,0.74,2.1,1.35,-1.6,-0.1499999999999999
Freiburg,3.0,1.0,1.0,1.0,6.0,4.0,2.0,4.0,1.33,4.2,3.7,0.5,0.18,1.4000000000000001,1.2333333333333334,0.5999999999999999,-0.09999999999999987,2.0,2.0,0.0,0.0,5.0,2.0,3.0,6.0,3.0,3.8,4.0,-0.2,-0.1,1.9,2.0,0.6000000000000001,1.0
Leverkusen,2.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,2.0,2.7,2.8,-0.1,-0.06,1.35,1.4,0.6499999999999999,-0.10000000000000009,2.0,2.0,0.0,0.0,5.0,2.0,3.0,6.0,3.0,3.6,2.7,1.0,0.48,1.8,1.35,0.7,0.3500000000000001
RB Leipzig,2.0,2.0,0.0,0.0,4.0,1.0,3.0,6.0,3.0,2.2,2.8,-0.6,-0.32,1.1,1.4,0.8999999999999999,0.8999999999999999,3.0,1.0,0.0,2.0,5.0,11.0,-6.0,3.0,1.0,4.9,7.6,-2.7,-0.89,1.6333333333333335,2.533333333333333,0.033333333333333215,-1.1333333333333333
Hoffenheim,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,1.5,3.1,2.5,0.6,0.3,1.55,1.25,-0.050000000000000044,-0.25,3.0,1.0,0.0,2.0,4.0,8.0,-4.0,3.0,1.0,5.1,5.4,-0.4,-0.13,1.7,1.8,-0.3666666666666667,-0.8666666666666665
Essen,3.0,0.0,0.0,3.0,2.0,7.0,-5.0,0.0,0.0,2.9,7.9,-5.0,-1.65,0.9666666666666667,2.6333333333333333,-0.30000000000000004,0.2999999999999998,2.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,4.5,1.3,3.3,1.63,2.25,0.65,-0.25,-0.35
Werder Bremen,2.0,1.0,0.0,1.0,2.0,4.0,-2.0,3.0,1.5,2.6,1.5,1.1,0.54,1.3,0.75,-0.30000000000000004,-1.25,3.0,0.0,1.0,2.0,3.0,6.0,-3.0,1.0,0.33,2.7,4.7,-2.0,-0.68,0.9,1.5666666666666667,0.09999999999999998,-0.43333333333333335
Carl-Zeiss Jena,2.0,0.0,0.0,2.0,0.0,3.0,-3.0,0.0,0.0,0.7,4.9,-4.2,-2.11,0.35,2.45,-0.35,0.9500000000000002,2.0,0.0,1.0,1.0,1.0,3.0,-2.0,1.0,0.5,2.1,4.2,-2.2,-1.09,1.05,2.1,-0.55,0.6000000000000001
Köln,2.0,0.0,1.0,1.0,2.0,4.0,-2.0,1.0,0.5,2.8,4.3,-1.5,-0.73,1.4,2.15,-0.3999999999999999,0.1499999999999999,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0.0,2.9,3.9,-1.0,-0.33,0.9666666666666667,1.3,-0.30000000000000004,-1.3666666666666665
Turbine Potsdam,3.0,0.0,0.0,3.0,0.0,11.0,-11.0,0.0,0.0,0.7,8.7,-8.0,-2.66,0.2333333333333333,2.9,-0.2333333333333333,-0.7666666666666666,2.0,0.0,0.0,2.0,0.0,5.0,-5.0,0.0,0.0,0.7,3.1,-2.4,-1.19,0.35,1.55,-0.35,-0.95
