Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Paderborn 07,6.0,4.0,2.0,0.0,11.0,4.0,7.0,14.0,2.33,11.0,5.8,5.2,0.87,1.8333333333333333,0.9666666666666667,0.0,0.30000000000000004,7.0,2.0,4.0,1.0,11.0,12.0,-1.0,10.0,1.43,10.3,6.9,3.4,0.48,1.4714285714285715,0.9857142857142858,0.09999999999999987,-0.7285714285714284
Karlsruher,6.0,3.0,2.0,1.0,13.0,11.0,2.0,11.0,1.83,9.4,8.5,1.0,0.16,1.5666666666666667,1.4166666666666667,0.5999999999999999,-0.4166666666666665,7.0,3.0,3.0,1.0,13.0,11.0,2.0,12.0,1.71,8.2,10.7,-2.5,-0.35,1.1714285714285713,1.5285714285714285,0.6857142857142859,-0.04285714285714293
Elversberg,6.0,4.0,1.0,1.0,15.0,8.0,7.0,13.0,2.17,12.1,9.2,2.9,0.48,2.0166666666666666,1.5333333333333332,0.4833333333333334,0.19999999999999996,7.0,2.0,3.0,2.0,9.0,6.0,3.0,9.0,1.29,9.4,6.8,2.6,0.38,1.342857142857143,0.9714285714285714,-0.05714285714285716,0.11428571428571432
Hannover 96,7.0,6.0,0.0,1.0,12.0,4.0,8.0,18.0,2.57,12.7,4.6,8.1,1.15,1.8142857142857143,0.6571428571428571,-0.10000000000000009,0.08571428571428574,6.0,1.0,1.0,4.0,5.0,8.0,-3.0,4.0,0.67,5.2,11.8,-6.6,-1.1,0.8666666666666667,1.9666666666666668,-0.033333333333333326,0.6333333333333335
Köln,7.0,3.0,1.0,3.0,15.0,10.0,5.0,10.0,1.43,15.6,8.1,7.6,1.08,2.2285714285714286,1.157142857142857,-0.08571428571428585,-0.2714285714285716,6.0,3.0,2.0,1.0,10.0,10.0,0.0,11.0,1.83,11.2,7.7,3.5,0.59,1.8666666666666665,1.2833333333333334,-0.19999999999999973,-0.3833333333333333
Magdeburg,6.0,0.0,5.0,1.0,6.0,9.0,-3.0,5.0,0.83,10.9,5.5,5.3,0.88,1.8166666666666667,0.9166666666666666,-0.8166666666666667,-0.5833333333333334,7.0,5.0,1.0,1.0,15.0,8.0,7.0,16.0,2.29,10.0,16.8,-6.8,-0.98,1.4285714285714286,2.4,0.7142857142857142,1.2571428571428571
Düsseldorf,7.0,1.0,3.0,3.0,7.0,12.0,-5.0,6.0,0.86,10.1,9.2,0.9,0.13,1.4428571428571428,1.3142857142857143,-0.44285714285714284,-0.3999999999999999,6.0,5.0,0.0,1.0,11.0,3.0,8.0,15.0,2.5,12.3,6.9,5.4,0.9,2.0500000000000003,1.1500000000000001,-0.216666666666667,0.6500000000000001
Hamburger SV,7.0,3.0,4.0,0.0,18.0,8.0,10.0,13.0,1.86,12.9,7.1,5.8,0.83,1.842857142857143,1.0142857142857142,0.7285714285714286,-0.12857142857142856,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,1.17,11.2,10.7,0.4,0.07,1.8666666666666665,1.7833333333333332,-0.19999999999999973,-0.050000000000000044
Kaiserslautern,6.0,2.0,3.0,1.0,15.0,12.0,3.0,9.0,1.5,11.6,11.4,0.2,0.03,1.9333333333333333,1.9000000000000001,0.5666666666666667,-0.09999999999999987,7.0,3.0,2.0,2.0,8.0,8.0,0.0,11.0,1.57,9.0,10.0,-1.1,-0.15,1.2857142857142858,1.4285714285714286,-0.14285714285714302,0.2857142857142858
Darmstadt 98,7.0,2.0,3.0,2.0,12.0,9.0,3.0,9.0,1.29,10.5,7.9,2.6,0.37,1.5,1.1285714285714286,0.2142857142857142,-0.15714285714285725,6.0,3.0,1.0,2.0,16.0,15.0,1.0,10.0,1.67,8.9,9.8,-0.9,-0.14,1.4833333333333334,1.6333333333333335,1.1833333333333331,-0.8666666666666665
