Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Bayern Munich,7.0,5.0,2.0,0.0,24.0,7.0,17.0,18.92693,5.2207403,16.8892,2.7038471428571427,0.7458200428571429,2.412742857142857,0.7247242857142857,-0.2541799571428571,3.0,2.0,1.0,0.0,7.0,1.0,7.0,6.44143,1.3445643,7.2865,2.1471433333333336,0.44818810000000003,2.4288333333333334,0.18618999999999986,0.11485476666666672,4.0,3.0,1.0,0.0,17.0,6.0,10.0,12.4855,3.876176,9.6027,3.121375,0.969044,2.400675,1.128625,-0.530956
RasenBallsport Leipzig,7.0,5.0,2.0,0.0,11.0,2.0,17.0,11.371018,10.03706,10.878,1.6244311428571427,1.4338657142857143,1.554,-0.05300257142857134,1.1481514285714285,3.0,2.0,1.0,0.0,5.0,0.0,7.0,5.047684,3.248672,5.2940000000000005,1.6825613333333334,1.0828906666666667,1.7646666666666668,-0.015894666666666613,1.0828906666666667,4.0,3.0,1.0,0.0,6.0,2.0,10.0,6.323333999999999,6.788388,5.584,1.5808334999999998,1.697097,1.396,-0.08083349999999978,1.197097
Freiburg,7.0,5.0,0.0,2.0,12.0,8.0,15.0,12.939052,6.646778,13.0597,1.848436,0.9495397142857144,1.8656714285714284,-0.13415028571428578,-0.19331742857142842,4.0,3.0,0.0,1.0,8.0,6.0,9.0,9.14867,3.759478,8.3036,2.2871675,0.9398695,2.0759,-0.2871674999999998,-0.5601305,3.0,2.0,0.0,1.0,4.0,2.0,6.0,3.790382,2.8873,4.7561,1.2634606666666668,0.9624333333333334,1.5853666666666666,0.06987266666666647,0.29576666666666673
Union Berlin,7.0,4.0,2.0,1.0,8.0,4.0,14.0,7.394324999999999,7.1213489999999995,9.812000000000001,1.0563321428571428,1.0173355714285715,1.401714285714286,0.08652499999999996,0.44590700000000005,3.0,3.0,0.0,0.0,5.0,2.0,9.0,3.7915799999999997,1.772391,5.8777,1.26386,0.590797,1.9592333333333334,0.40280666666666676,-0.07586966666666661,4.0,1.0,2.0,1.0,3.0,2.0,5.0,3.602745,5.348958,3.9343,0.90068625,1.3372395,0.983575,-0.15068625000000002,0.8372394999999999
Bayer Leverkusen,7.0,4.0,2.0,1.0,18.0,13.0,14.0,18.5379463,9.652466,14.5989,2.648278042857143,1.3789237142857143,2.085557142857143,-0.07684947142857146,-0.47821914285714295,4.0,2.0,1.0,1.0,10.0,9.0,7.0,11.796759999999999,5.877686000000001,9.0875,2.9491899999999998,1.4694215000000002,2.271875,-0.44918999999999976,-0.7805784999999998,3.0,2.0,1.0,0.0,8.0,4.0,7.0,6.7411863,3.77478,5.511399999999999,2.2470621,1.25826,1.837133333333333,0.41960456666666657,-0.07507333333333333
Borussia Dortmund,7.0,4.0,1.0,2.0,14.0,12.0,13.0,15.18375,10.232833,12.682,2.169107142857143,1.4618332857142857,1.8117142857142858,-0.1691071428571429,-0.25245242857142847,4.0,4.0,0.0,0.0,12.0,5.0,12.0,12.90977,4.86521,9.923100000000002,3.2274425,1.2163025,2.4807750000000004,-0.2274425,-0.033697499999999936,3.0,0.0,1.0,2.0,2.0,7.0,1.0,2.27398,5.367623,2.7588999999999997,0.7579933333333333,1.7892076666666668,0.9196333333333332,-0.09132666666666667,-0.5441256666666667
Eintracht Frankfurt,7.0,4.0,1.0,2.0,15.0,11.0,13.0,15.11914,13.120226,11.538,2.159877142857143,1.8743180000000002,1.6482857142857144,-0.017020000000000035,0.30288942857142875,3.0,2.0,1.0,0.0,8.0,4.0,7.0,7.11274,4.860265999999999,5.7149,2.370913333333333,1.6200886666666665,1.9049666666666667,0.2957533333333333,0.28675533333333325,4.0,2.0,0.0,2.0,7.0,7.0,6.0,8.0064,8.25996,5.8231,2.0016,2.06499,1.455775,-0.2515999999999998,0.3149899999999999
Werder Bremen,7.0,3.0,2.0,2.0,12.0,14.0,11.0,10.727277,12.790372000000001,8.4182,1.532468142857143,1.8271960000000003,1.2026000000000001,0.18181757142857125,-0.17280399999999974,3.0,0.0,1.0,2.0,0.0,6.0,1.0,1.158207,5.843462000000001,1.4903999999999997,0.386069,1.9478206666666669,0.4967999999999999,-0.386069,-0.05217933333333313,4.0,3.0,1.0,0.0,12.0,8.0,10.0,9.56907,6.946910000000001,6.9277999999999995,2.3922675,1.7367275000000002,1.7319499999999999,0.6077325,-0.2632724999999998
Borussia M.Gladbach,7.0,3.0,0.0,4.0,10.0,12.0,9.0,13.773401,14.192493,9.4728,1.9676287142857143,2.027499,1.3532571428571427,-0.5390572857142857,0.31321328571428597,4.0,2.0,0.0,2.0,7.0,8.0,6.0,9.100819999999999,8.586103999999999,5.8307,2.2752049999999997,2.1465259999999997,1.457675,-0.5252049999999997,0.1465259999999997,3.0,1.0,0.0,2.0,3.0,4.0,3.0,4.672581,5.606389,3.6421,1.557527,1.8687963333333333,1.2140333333333333,-0.5575270000000001,0.535463
VfB Stuttgart,7.0,2.0,3.0,2.0,15.0,15.0,9.0,15.463851000000002,13.175928,11.9918,2.2091215714285717,1.8822754285714287,1.7131142857142856,-0.06626442857142889,-0.2605817142857141,3.0,1.0,2.0,0.0,9.0,5.0,5.0,9.501249999999999,3.452178,7.5775,3.167083333333333,1.150726,2.5258333333333334,-0.1670833333333328,-0.5159406666666668,4.0,1.0,1.0,2.0,6.0,10.0,4.0,5.962601,9.723749999999999,4.4143,1.49065025,2.4309374999999998,1.103575,0.009349749999999935,-0.06906250000000025
