Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Colo-Colo,14.0,11.0,0.0,3.0,24.0,10.0,14.0,33.0,2.36,1.7142857142857142,0.7142857142857143,14.0,9.0,3.0,2.0,21.0,10.0,11.0,30.0,2.14,1.5,0.7142857142857143
U de Chile,14.0,8.0,5.0,1.0,19.0,8.0,11.0,29.0,2.07,1.3571428571428572,0.5714285714285714,14.0,10.0,2.0,2.0,29.0,14.0,15.0,32.0,2.29,2.0714285714285716,1.0
Unión Española,14.0,9.0,0.0,5.0,31.0,21.0,10.0,27.0,1.93,2.2142857142857144,1.5,14.0,4.0,6.0,4.0,20.0,19.0,1.0,18.0,1.29,1.4285714285714286,1.3571428571428572
Univ Católica,14.0,6.0,3.0,5.0,25.0,17.0,8.0,21.0,1.5,1.7857142857142858,1.2142857142857142,14.0,7.0,3.0,4.0,16.0,13.0,3.0,24.0,1.71,1.1428571428571428,0.9285714285714286
Iquique,14.0,9.0,2.0,3.0,28.0,19.0,9.0,29.0,2.07,2.0,1.3571428571428572,14.0,4.0,4.0,6.0,23.0,26.0,-3.0,16.0,1.14,1.6428571428571428,1.8571428571428572
Everton,14.0,5.0,5.0,4.0,18.0,15.0,3.0,20.0,1.43,1.2857142857142858,1.0714285714285714,14.0,6.0,3.0,5.0,27.0,25.0,2.0,21.0,1.5,1.9285714285714286,1.7857142857142858
Coquimbo Unido,14.0,7.0,5.0,2.0,21.0,11.0,10.0,26.0,1.86,1.5,0.7857142857142857,14.0,4.0,3.0,7.0,14.0,22.0,-8.0,15.0,1.07,1.0,1.5714285714285714
Palestino,14.0,7.0,3.0,4.0,27.0,15.0,12.0,24.0,1.71,1.9285714285714286,1.0714285714285714,14.0,4.0,4.0,6.0,14.0,16.0,-2.0,16.0,1.14,1.0,1.1428571428571428
Ñublense,14.0,6.0,4.0,4.0,21.0,10.0,11.0,22.0,1.57,1.5,0.7142857142857143,14.0,5.0,3.0,6.0,18.0,19.0,-1.0,18.0,1.29,1.2857142857142858,1.3571428571428572
Audax Italiano,14.0,4.0,2.0,8.0,15.0,20.0,-5.0,14.0,1.0,1.0714285714285714,1.4285714285714286,14.0,5.0,2.0,7.0,17.0,16.0,1.0,17.0,1.21,1.2142857142857142,1.1428571428571428
O'Higgins,14.0,3.0,5.0,6.0,12.0,25.0,-13.0,14.0,1.0,0.8571428571428571,1.7857142857142858,14.0,5.0,2.0,7.0,21.0,22.0,-1.0,17.0,1.21,1.5,1.5714285714285714
Huachipato,14.0,5.0,5.0,4.0,15.0,17.0,-2.0,20.0,1.43,1.0714285714285714,1.2142857142857142,14.0,3.0,2.0,9.0,12.0,26.0,-14.0,11.0,0.79,0.8571428571428571,1.8571428571428572
Cobresal,14.0,6.0,4.0,4.0,27.0,23.0,4.0,22.0,1.57,1.9285714285714286,1.6428571428571428,14.0,1.0,5.0,8.0,12.0,24.0,-12.0,8.0,0.57,0.8571428571428571,1.7142857142857142
La Calera,14.0,4.0,2.0,8.0,16.0,24.0,-8.0,14.0,1.0,1.1428571428571428,1.7142857142857142,14.0,4.0,4.0,6.0,10.0,16.0,-6.0,16.0,1.14,0.7142857142857143,1.1428571428571428
Cobreloa,14.0,6.0,2.0,6.0,18.0,20.0,-2.0,20.0,1.43,1.2857142857142858,1.4285714285714286,14.0,2.0,1.0,11.0,10.0,40.0,-30.0,7.0,0.5,0.7142857142857143,2.857142857142857
Deportes Copiapó,14.0,6.0,1.0,7.0,25.0,22.0,3.0,19.0,1.36,1.7857142857142858,1.5714285714285714,14.0,1.0,1.0,12.0,13.0,34.0,-21.0,4.0,0.29,0.9285714285714286,2.4285714285714284
