Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Liverpool,10.0,8.0,1.0,1.0,19.0,6.0,25.0,21.93911,9.161457999999998,21.980600000000003,2.193911,0.9161457999999998,2.1980600000000003,-0.29391100000000003,0.3161457999999998,5.0,4.0,0.0,1.0,9.0,3.0,12.0,10.362060000000001,4.871281,10.711200000000002,2.0724120000000004,0.9742561999999999,2.14224,-0.2724120000000003,0.37425619999999993,5.0,4.0,1.0,0.0,10.0,3.0,13.0,11.577049999999998,4.290177,11.269400000000001,2.3154099999999995,0.8580354,2.25388,-0.3154099999999995,0.2580354
Manchester City,10.0,7.0,2.0,1.0,21.0,11.0,23.0,21.273449999999997,12.505886,18.8228,2.1273449999999996,1.2505886,1.8822800000000002,-0.02734499999999951,0.15058859999999985,5.0,4.0,1.0,0.0,12.0,6.0,13.0,11.916549999999999,5.943498,10.3657,2.38331,1.1886996,2.07314,0.016690000000000094,-0.011300399999999877,5.0,3.0,1.0,1.0,9.0,5.0,10.0,9.3569,6.562388,8.457099999999999,1.8713799999999998,1.3124776,1.6914199999999997,-0.07137999999999978,0.3124776
Nottingham Forest,10.0,5.0,4.0,1.0,14.0,7.0,19.0,16.539863,11.313707,16.5775,1.6539863000000001,1.1313707000000002,1.65775,-0.2539863000000002,0.4313707000000002,5.0,2.0,2.0,1.0,6.0,3.0,8.0,7.504931,5.25002,8.1711,1.5009862,1.050004,1.6342199999999998,-0.3009862000000001,0.45000399999999996,5.0,3.0,2.0,0.0,8.0,4.0,11.0,9.034932000000001,6.063687,8.4064,1.8069864000000002,1.2127374,1.6812799999999999,-0.20698640000000013,0.4127373999999999
Aston Villa,10.0,5.0,3.0,2.0,17.0,15.0,18.0,19.258249000000003,13.717224,17.3859,1.9258249000000003,1.3717224,1.7385899999999999,-0.22582490000000033,-0.1282776000000001,5.0,2.0,2.0,1.0,7.0,6.0,8.0,9.355719,3.563453,10.5754,1.8711438,0.7126906,2.11508,-0.4711438000000001,-0.4873094,5.0,3.0,1.0,1.0,10.0,9.0,10.0,9.90253,10.153770999999999,6.8105,1.980506,2.0307541999999996,1.3621,0.0194939999999999,0.23075419999999958
Arsenal,10.0,5.0,3.0,2.0,17.0,11.0,18.0,19.910343,13.266834,15.9757,1.9910343000000001,1.3266833999999998,1.59757,-0.2910343000000002,0.22668339999999976,5.0,3.0,2.0,0.0,12.0,6.0,11.0,14.43928,5.357814,10.633000000000001,2.887856,1.0715628000000001,2.1266000000000003,-0.4878560000000003,-0.1284371999999998,5.0,2.0,1.0,2.0,5.0,5.0,7.0,5.471063000000001,7.90902,5.3427,1.0942126,1.581804,1.06854,-0.09421260000000009,0.581804
Chelsea,10.0,5.0,3.0,2.0,20.0,12.0,18.0,19.501606,15.355345,15.6087,1.9501605999999998,1.5355345,1.56087,0.0498394000000002,0.33553450000000007,5.0,2.0,2.0,1.0,8.0,7.0,8.0,11.59251,6.255998,9.884699999999999,2.318502,1.2511996,1.9769399999999997,-0.718502,-0.14880039999999983,5.0,3.0,1.0,1.0,12.0,5.0,10.0,7.909096,9.099346999999998,5.724,1.5818192,1.8198693999999995,1.1448,0.8181807999999999,0.8198693999999995
Brighton,10.0,4.0,4.0,2.0,17.0,14.0,16.0,16.4615,15.808278,15.1727,1.64615,1.5808278,1.5172700000000001,0.05384999999999995,0.1808278000000001,5.0,2.0,3.0,0.0,9.0,7.0,9.0,8.952490000000001,5.579643,9.4789,1.7904980000000001,1.1159286,1.8957799999999998,0.0095019999999999,-0.2840714,5.0,2.0,1.0,2.0,8.0,7.0,7.0,7.50901,10.228635,5.6937999999999995,1.501802,2.0457270000000003,1.13876,0.09819800000000001,0.6457270000000004
Tottenham,10.0,5.0,1.0,4.0,22.0,11.0,16.0,21.396845000000003,12.174209000000001,17.5008,2.1396845000000004,1.2174209,1.75008,0.060315499999999744,0.11742089999999994,5.0,4.0,0.0,1.0,15.0,4.0,12.0,10.836865,6.009627,9.378300000000001,2.167373,1.2019254,1.8756600000000003,0.832627,0.4019253999999999,5.0,1.0,1.0,3.0,7.0,7.0,4.0,10.559980000000001,6.164582,8.122499999999999,2.1119960000000004,1.2329164000000001,1.6244999999999998,-0.7119960000000005,-0.16708359999999978
Fulham,10.0,4.0,3.0,3.0,14.0,13.0,15.0,19.417741,10.428348999999999,19.960099999999997,1.9417741,1.0428349,1.9960099999999996,-0.5417741,-0.25716510000000015,5.0,3.0,1.0,1.0,9.0,7.0,10.0,12.12051,4.812585,11.623400000000002,2.424102,0.9625170000000001,2.3246800000000003,-0.6241019999999999,-0.43748299999999984,5.0,1.0,2.0,2.0,5.0,6.0,5.0,7.297231,5.615764,8.336699999999999,1.4594462,1.1231528000000002,1.6673399999999998,-0.4594461999999999,-0.07684719999999978
Newcastle United,10.0,4.0,3.0,3.0,10.0,10.0,15.0,14.166864,16.968618999999997,12.265600000000001,1.4166864000000001,1.6968618999999996,1.22656,-0.4166864000000001,0.6968618999999996,5.0,3.0,1.0,1.0,5.0,3.0,10.0,6.160154,7.442235,5.9089,1.2320308,1.488447,1.18178,-0.23203079999999998,0.8884470000000001,5.0,1.0,2.0,2.0,5.0,7.0,5.0,8.00671,9.526384,6.3567,1.601342,1.9052768,1.27134,-0.601342,0.5052768000000001
