Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Barcelona,8.0,7.0,0.0,1.0,25.0,9.0,21.0,22.110053999999998,10.389127,17.594299999999997,2.7637567499999998,1.298640875,2.1992874999999996,0.36124325000000024,0.17364087500000003,3.0,3.0,0.0,0.0,10.0,1.0,9.0,9.56398,2.452194,7.6527,3.1879933333333335,0.817398,2.5509,0.14534000000000002,0.48406466666666664,5.0,4.0,0.0,1.0,15.0,8.0,12.0,12.546073999999999,7.936933,9.9416,2.5092147999999996,1.5873865999999999,1.9883199999999999,0.49078520000000037,-0.012613400000000219
Real Madrid,8.0,5.0,3.0,0.0,17.0,6.0,18.0,18.072159,6.970116000000001,16.6483,2.259019875,0.8712645000000001,2.0810375,-0.1340198749999999,0.12126450000000011,4.0,4.0,0.0,0.0,12.0,3.0,12.0,11.244,2.382243,10.207099999999999,2.811,0.59556075,2.5517749999999997,0.18900000000000006,-0.15443925000000003,4.0,1.0,3.0,0.0,5.0,3.0,6.0,6.828158999999999,4.587873,6.4412,1.7070397499999999,1.14696825,1.6103,-0.45703974999999986,0.39696825
Villarreal,8.0,5.0,2.0,1.0,17.0,15.0,17.0,18.208069,13.008544,14.0403,2.276008625,1.626068,1.7550375,-0.15100862499999979,-0.24893199999999993,4.0,2.0,1.0,1.0,10.0,11.0,7.0,11.54328,9.926567,6.0647,2.88582,2.48164175,1.516175,-0.38581999999999983,-0.2683582499999999,4.0,3.0,1.0,0.0,7.0,4.0,10.0,6.664788999999999,3.0819769999999997,7.9756,1.6661972499999997,0.7704942499999999,1.9939,0.08380275000000026,-0.22950575000000006
Atletico Madrid,8.0,4.0,4.0,0.0,12.0,4.0,16.0,13.651453,6.686301,14.997599999999998,1.706431625,0.835787625,1.8746999999999998,-0.206431625,0.33578762500000003,4.0,2.0,2.0,0.0,7.0,1.0,8.0,9.59422,2.29645,9.6413,2.398555,0.5741125,2.410325,-0.648555,0.3241125,4.0,2.0,2.0,0.0,5.0,3.0,8.0,4.057232999999999,4.389851,5.3563,1.0143082499999998,1.09746275,1.339075,0.2356917500000002,0.34746275000000004
Athletic Club,8.0,4.0,2.0,2.0,12.0,8.0,14.0,8.979709999999999,9.2819881,10.6595,1.1224637499999999,1.1602485125,1.3324375,0.37753625000000013,0.16024851249999994,5.0,2.0,2.0,1.0,6.0,4.0,8.0,4.7522899999999995,4.6802241,6.6366000000000005,0.9504579999999999,0.93604482,1.32732,0.24954200000000004,0.13604481999999996,3.0,2.0,0.0,1.0,6.0,4.0,6.0,4.2274199999999995,4.601764,4.0229,1.4091399999999998,1.5339213333333335,1.3409666666666666,0.5908600000000002,0.2005880000000002
Osasuna,8.0,4.0,2.0,2.0,12.0,13.0,14.0,8.830563799999998,10.786115999999998,9.8443,1.1038204749999998,1.3482644999999998,1.2305375,0.3961795250000002,-0.27673550000000025,5.0,4.0,1.0,0.0,11.0,6.0,13.0,7.902739,5.525016000000001,8.6685,1.5805478000000002,1.1050032,1.7337,0.6194522,-0.09499679999999988,3.0,0.0,1.0,2.0,1.0,7.0,1.0,0.9278248,5.2611,1.1758,0.30927493333333334,1.7537,0.3919333333333333,0.02405839999999998,-0.5796333333333334
Mallorca,9.0,4.0,2.0,3.0,9.0,8.0,14.0,11.801944999999998,9.179153,15.1291,1.311327222222222,1.0199058888888888,1.681011111111111,-0.3113272222222221,0.13101699999999994,4.0,1.0,2.0,1.0,3.0,3.0,5.0,4.161213,4.135790999999999,6.2346,1.04030325,1.0339477499999998,1.55865,-0.29030325,0.28394774999999983,5.0,3.0,0.0,2.0,6.0,5.0,9.0,7.640732,5.043361999999999,8.8945,1.5281464,1.0086723999999998,1.7789000000000001,-0.32814640000000006,0.008672399999999802
Real Betis,8.0,3.0,3.0,2.0,8.0,7.0,12.0,14.797658999999998,8.177092,16.015199999999997,1.8497073749999997,1.0221365,2.0018999999999996,-0.8497073749999997,0.1471365,5.0,3.0,1.0,1.0,7.0,4.0,10.0,9.93965,4.524877,10.8109,1.98793,0.9049754,2.16218,-0.5879300000000001,0.10497539999999994,3.0,0.0,2.0,1.0,1.0,3.0,2.0,4.858009,3.652215,5.2043,1.6193363333333333,1.217405,1.7347666666666666,-1.286003,0.21740500000000007
Rayo Vallecano,8.0,2.0,4.0,2.0,9.0,8.0,10.0,7.867703,9.538946,9.667600000000002,0.983462875,1.19236825,1.2084500000000002,0.14153712500000004,0.1923682499999999,4.0,1.0,2.0,1.0,6.0,5.0,5.0,4.7186129999999995,3.455453,6.570400000000001,1.1796532499999999,0.86386325,1.6426000000000003,0.3203467500000001,-0.38613675000000003,4.0,1.0,2.0,1.0,3.0,3.0,5.0,3.14909,6.083493,3.0972,0.7872725,1.52087325,0.7743,-0.03727250000000004,0.77087325
Celta Vigo,8.0,3.0,1.0,4.0,15.0,15.0,10.0,13.108077,11.692829000000001,12.266000000000002,1.638509625,1.4616036250000002,1.5332500000000002,0.23649037500000003,-0.4133963749999998,5.0,3.0,1.0,1.0,9.0,5.0,10.0,6.377487,5.667204,7.3678,1.2754974000000001,1.1334408,1.47356,0.5245025999999999,0.13344080000000003,3.0,0.0,0.0,3.0,6.0,10.0,0.0,6.730589999999999,6.025625,4.8982,2.24353,2.0085416666666664,1.6327333333333334,-0.2435299999999998,-1.324791666666667
Espanyol,9.0,3.0,1.0,5.0,9.0,13.0,10.0,9.156729,19.872414000000006,7.321899999999999,1.0174143333333334,2.208046000000001,0.8135444444444444,-0.01741433333333342,0.7636015555555564,5.0,3.0,0.0,2.0,8.0,7.0,9.0,6.8970959999999994,7.934923999999999,6.138300000000001,1.3794191999999998,1.5869847999999998,1.2276600000000002,0.22058080000000024,0.18698479999999984,4.0,0.0,1.0,3.0,1.0,6.0,1.0,2.2596329999999996,11.937489999999999,1.1836,0.5649082499999999,2.9843724999999997,0.2959,-0.3149082499999999,1.4843724999999997
Alaves,8.0,3.0,1.0,4.0,11.0,12.0,10.0,11.792027999999998,10.584209,12.285300000000001,1.4740034999999998,1.323026125,1.5356625000000002,-0.0990034999999998,-0.17697387500000006,3.0,2.0,1.0,0.0,4.0,1.0,7.0,3.5892150000000003,2.531365,5.0390999999999995,1.1964050000000002,0.8437883333333334,1.6796999999999997,0.1369283333333331,0.5104550000000001,5.0,1.0,0.0,4.0,7.0,11.0,3.0,8.202813,8.052844,7.2462,1.6405626000000002,1.6105688,1.44924,-0.2405626000000003,-0.5894312000000002
Girona,8.0,2.0,3.0,3.0,9.0,11.0,9.0,12.162802,7.908507800000001,13.8765,1.52035025,0.9885634750000001,1.7345625,-0.3953502499999999,-0.3864365249999999,3.0,1.0,1.0,1.0,5.0,4.0,4.0,5.855080000000001,2.9912957999999996,6.1143,1.9516933333333337,0.9970985999999998,2.0381,-0.285026666666667,-0.3362347333333334,5.0,1.0,2.0,2.0,4.0,7.0,5.0,6.307722,4.917212000000001,7.7622,1.2615444,0.9834424000000002,1.55244,-0.46154439999999997,-0.41655759999999975
Sevilla,8.0,2.0,3.0,3.0,8.0,10.0,9.0,9.944984,10.640448,10.1662,1.243123,1.330056,1.270775,-0.24312299999999998,0.0800559999999999,4.0,2.0,0.0,2.0,4.0,5.0,6.0,5.369947,5.144869999999999,5.8158,1.34248675,1.2862174999999998,1.45395,-0.34248674999999995,0.03621749999999979,4.0,0.0,3.0,1.0,4.0,5.0,3.0,4.575037,5.495578,4.3504,1.14375925,1.3738945,1.0876,-0.14375925,0.12389450000000002
Real Sociedad,8.0,2.0,2.0,4.0,6.0,7.0,8.0,10.328068299999998,12.173617,8.6243,1.2910085374999998,1.521702125,1.0780375,-0.5410085374999998,0.646702125,4.0,1.0,0.0,3.0,5.0,6.0,3.0,7.621307,7.308953000000001,5.303100000000001,1.90532675,1.8272382500000002,1.3257750000000001,-0.65532675,0.3272382500000002,4.0,1.0,2.0,1.0,1.0,1.0,5.0,2.7067613,4.864663999999999,3.3212,0.676690325,1.2161659999999999,0.8303,-0.42669032500000004,0.9661659999999999
