Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Vélez Sarsfield,6.0,5.0,1.0,0.0,13.0,1.0,12.0,16.0,2.67,7.8,4.4,3.4,0.56,1.3,0.7333333333333334,0.8666666666666665,0.5666666666666668,8.0,4.0,2.0,2.0,14.0,7.0,7.0,14.0,1.75,13.4,8.4,5.0,0.62,1.675,1.05,0.07499999999999996,0.17500000000000004
Unión,8.0,6.0,2.0,0.0,12.0,2.0,10.0,20.0,2.5,10.8,5.7,5.0,0.63,1.35,0.7125,0.1499999999999999,0.4625,7.0,1.0,4.0,2.0,6.0,10.0,-4.0,7.0,1.0,7.7,6.7,1.0,0.14,1.1,0.9571428571428572,-0.242857142857143,-0.4714285714285714
Atlé Tucumán,7.0,5.0,2.0,0.0,9.0,3.0,6.0,17.0,2.43,9.3,7.2,2.1,0.3,1.3285714285714287,1.0285714285714287,-0.04285714285714293,0.6000000000000001,7.0,2.0,2.0,3.0,6.0,9.0,-3.0,8.0,1.14,8.4,7.4,0.9,0.13,1.2,1.0571428571428572,-0.34285714285714286,-0.22857142857142865
Racing Club,7.0,5.0,1.0,1.0,11.0,3.0,8.0,16.0,2.29,10.0,4.0,6.0,0.86,1.4285714285714286,0.5714285714285714,0.1428571428571428,0.14285714285714285,7.0,2.0,2.0,3.0,9.0,8.0,1.0,8.0,1.14,9.7,7.0,2.7,0.39,1.3857142857142857,1.0,-0.09999999999999987,-0.1428571428571428
Instituto,6.0,4.0,2.0,0.0,12.0,4.0,8.0,14.0,2.33,6.0,4.6,1.3,0.22,1.0,0.7666666666666666,1.0,0.09999999999999998,8.0,3.0,1.0,4.0,8.0,8.0,0.0,10.0,1.25,8.9,8.6,0.4,0.05,1.1125,1.075,-0.11250000000000004,0.07499999999999996
Huracán,7.0,4.0,2.0,1.0,6.0,3.0,3.0,14.0,2.0,6.4,6.0,0.4,0.05,0.9142857142857144,0.8571428571428571,-0.05714285714285727,0.42857142857142855,7.0,2.0,4.0,1.0,6.0,4.0,2.0,10.0,1.43,7.5,6.8,0.8,0.11,1.0714285714285714,0.9714285714285714,-0.2142857142857143,0.4
Talleres,6.0,4.0,2.0,0.0,9.0,4.0,5.0,14.0,2.33,4.1,3.2,0.9,0.15,0.6833333333333332,0.5333333333333333,0.8166666666666668,-0.1333333333333333,8.0,2.0,4.0,2.0,11.0,12.0,-1.0,10.0,1.25,10.1,8.8,1.3,0.16,1.2625,1.1,0.11250000000000004,-0.3999999999999999
Deportivo Riestra,8.0,7.0,0.0,1.0,12.0,4.0,8.0,21.0,2.63,13.2,7.5,5.7,0.71,1.65,0.9375,-0.1499999999999999,0.4375,7.0,0.0,2.0,5.0,3.0,11.0,-8.0,2.0,0.29,3.4,9.4,-6.1,-0.86,0.4857142857142857,1.342857142857143,-0.05714285714285716,-0.22857142857142843
Gimnasia–LP,8.0,4.0,2.0,2.0,10.0,5.0,5.0,14.0,1.75,10.6,8.3,2.3,0.29,1.325,1.0375,-0.07499999999999996,0.4125000000000001,7.0,2.0,2.0,3.0,6.0,9.0,-3.0,8.0,1.14,6.5,7.3,-0.8,-0.12,0.9285714285714286,1.042857142857143,-0.07142857142857151,-0.24285714285714288
River Plate,8.0,5.0,3.0,0.0,17.0,5.0,12.0,18.0,2.25,16.2,5.9,10.2,1.28,2.025,0.7375,0.10000000000000009,0.11250000000000004,6.0,0.0,3.0,3.0,2.0,6.0,-4.0,3.0,0.5,5.6,6.3,-0.7,-0.12,0.9333333333333332,1.05,-0.5999999999999999,0.050000000000000044
