Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Cruz Azul,6.0,5.0,1.0,0.0,13.0,2.0,11.0,16.0,2.67,10.7,3.8,6.9,1.14,1.7833333333333332,0.6333333333333333,0.3833333333333333,0.3,6.0,5.0,0.0,1.0,15.0,7.0,8.0,15.0,2.5,11.6,6.9,4.7,0.79,1.9333333333333333,1.1500000000000001,0.5666666666666667,-0.016666666666666607
Toluca,6.0,5.0,1.0,0.0,17.0,5.0,12.0,16.0,2.67,8.8,6.1,2.8,0.46,1.4666666666666668,1.0166666666666666,1.3666666666666667,0.18333333333333324,6.0,2.0,3.0,1.0,6.0,6.0,0.0,9.0,1.5,6.1,9.1,-3.0,-0.5,1.0166666666666666,1.5166666666666666,-0.016666666666666607,0.5166666666666666
UANL,6.0,4.0,2.0,0.0,7.0,3.0,4.0,14.0,2.33,8.4,5.3,3.1,0.51,1.4000000000000001,0.8833333333333333,-0.2333333333333334,0.3833333333333333,6.0,3.0,1.0,2.0,10.0,7.0,3.0,10.0,1.67,10.3,6.4,3.9,0.66,1.7166666666666668,1.0666666666666667,-0.050000000000000044,-0.10000000000000009
Monterrey,6.0,3.0,1.0,2.0,10.0,11.0,-1.0,10.0,1.67,10.0,9.4,0.6,0.1,1.6666666666666667,1.5666666666666667,0.0,-0.2666666666666666,7.0,4.0,2.0,1.0,9.0,5.0,4.0,14.0,2.0,10.2,7.7,2.6,0.37,1.457142857142857,1.1,-0.17142857142857126,0.3857142857142858
UNAM,6.0,5.0,0.0,1.0,12.0,4.0,8.0,15.0,2.5,12.4,4.3,8.0,1.34,2.066666666666667,0.7166666666666667,-0.06666666666666687,0.050000000000000044,6.0,2.0,2.0,2.0,6.0,7.0,-1.0,8.0,1.33,7.7,5.4,2.3,0.38,1.2833333333333334,0.9,-0.28333333333333344,-0.2666666666666667
Tijuana,6.0,5.0,1.0,0.0,14.0,7.0,7.0,16.0,2.67,9.5,7.3,2.2,0.37,1.5833333333333333,1.2166666666666666,0.7500000000000002,0.04999999999999982,6.0,2.0,1.0,3.0,5.0,11.0,-6.0,7.0,1.17,6.7,12.3,-5.5,-0.92,1.1166666666666667,2.0500000000000003,-0.2833333333333333,0.216666666666667
Atlético,7.0,6.0,1.0,0.0,16.0,5.0,11.0,19.0,2.71,11.3,6.7,4.5,0.65,1.6142857142857143,0.9571428571428572,0.6714285714285713,0.24285714285714288,6.0,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,0.17,5.9,9.3,-3.3,-0.56,0.9833333333333334,1.55,-0.4833333333333334,-0.2833333333333332
Guadalajara,6.0,3.0,2.0,1.0,12.0,4.0,8.0,11.0,1.83,9.7,5.2,4.5,0.75,1.6166666666666665,0.8666666666666667,0.3833333333333335,0.20000000000000007,6.0,2.0,1.0,3.0,7.0,7.0,0.0,7.0,1.17,6.7,8.1,-1.4,-0.23,1.1166666666666667,1.3499999999999999,0.050000000000000044,0.18333333333333313
Atlas,6.0,3.0,2.0,1.0,6.0,3.0,3.0,11.0,1.83,6.5,5.5,0.9,0.16,1.0833333333333333,0.9166666666666666,-0.08333333333333326,0.41666666666666663,6.0,2.0,1.0,3.0,9.0,14.0,-5.0,7.0,1.17,6.6,6.1,0.5,0.09,1.0999999999999999,1.0166666666666666,0.40000000000000013,-1.3166666666666669
América,6.0,4.0,0.0,2.0,10.0,3.0,7.0,12.0,2.0,8.6,3.6,5.1,0.84,1.4333333333333333,0.6,0.2333333333333334,0.09999999999999998,6.0,1.0,2.0,3.0,6.0,10.0,-4.0,5.0,0.83,8.5,5.3,3.2,0.54,1.4166666666666667,0.8833333333333333,-0.41666666666666674,-0.7833333333333334
Necaxa,6.0,3.0,1.0,2.0,11.0,5.0,6.0,10.0,1.67,9.7,6.7,3.0,0.51,1.6166666666666665,1.1166666666666667,0.21666666666666679,0.2833333333333333,6.0,0.0,3.0,3.0,3.0,8.0,-5.0,3.0,0.5,6.5,8.4,-2.0,-0.33,1.0833333333333333,1.4000000000000001,-0.5833333333333333,0.06666666666666687
León,6.0,1.0,4.0,1.0,5.0,5.0,0.0,7.0,1.17,7.4,6.5,0.9,0.15,1.2333333333333334,1.0833333333333333,-0.4,0.2499999999999999,6.0,1.0,2.0,3.0,9.0,14.0,-5.0,5.0,0.83,3.8,11.1,-7.3,-1.22,0.6333333333333333,1.8499999999999999,0.8666666666666667,-0.4833333333333336
Puebla,8.0,2.0,1.0,5.0,12.0,15.0,-3.0,7.0,0.88,12.7,9.1,3.6,0.45,1.5875,1.1375,-0.08749999999999991,-0.7375,5.0,1.0,1.0,3.0,3.0,7.0,-4.0,4.0,0.8,2.8,9.1,-6.4,-1.27,0.5599999999999999,1.8199999999999998,0.040000000000000036,0.41999999999999993
FC Juárez,6.0,1.0,1.0,4.0,7.0,10.0,-3.0,4.0,0.67,4.7,7.7,-3.0,-0.49,0.7833333333333333,1.2833333333333334,0.3833333333333334,-0.3833333333333333,6.0,2.0,0.0,4.0,9.0,16.0,-7.0,6.0,1.0,7.9,14.0,-6.1,-1.01,1.3166666666666667,2.3333333333333335,0.18333333333333335,-0.33333333333333304
Mazatlán,5.0,1.0,4.0,0.0,8.0,5.0,3.0,7.0,1.4,10.8,4.8,5.9,1.19,2.16,0.96,-0.56,-0.040000000000000036,7.0,0.0,2.0,5.0,0.0,8.0,-8.0,2.0,0.29,6.8,6.9,-0.1,-0.02,0.9714285714285714,0.9857142857142858,-0.9714285714285714,-0.15714285714285703
Pachuca,6.0,1.0,2.0,3.0,7.0,10.0,-3.0,5.0,0.83,8.1,6.7,1.4,0.23,1.3499999999999999,1.1166666666666667,-0.18333333333333313,-0.55,6.0,1.0,1.0,4.0,4.0,11.0,-7.0,4.0,0.67,4.6,8.7,-4.1,-0.68,0.7666666666666666,1.45,-0.09999999999999998,-0.3833333333333333
Querétaro,6.0,1.0,1.0,4.0,2.0,7.0,-5.0,4.0,0.67,4.6,11.1,-6.5,-1.09,0.7666666666666666,1.8499999999999999,-0.4333333333333333,0.6833333333333331,7.0,1.0,2.0,4.0,7.0,14.0,-7.0,5.0,0.71,5.6,14.3,-8.7,-1.24,0.7999999999999999,2.042857142857143,0.20000000000000007,0.04285714285714315
Santos,6.0,2.0,1.0,3.0,6.0,10.0,-4.0,7.0,1.17,7.4,12.5,-5.1,-0.85,1.2333333333333334,2.0833333333333335,-0.2333333333333334,0.41666666666666674,6.0,0.0,1.0,5.0,3.0,12.0,-9.0,1.0,0.17,3.9,12.3,-8.4,-1.39,0.65,2.0500000000000003,-0.15000000000000002,0.050000000000000266
