Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Monaco,7.0,6.0,1.0,0.0,14.0,4.0,19.0,15.471956,4.820671300000001,15.565900000000001,2.2102794285714285,0.6886673285714286,2.2237,-0.21027942857142845,0.11723875714285725,4.0,3.0,1.0,0.0,7.0,3.0,10.0,8.987361,3.746467,8.601300000000002,2.24684025,0.93661675,2.1503250000000005,-0.49684025,0.18661675,3.0,3.0,0.0,0.0,7.0,1.0,9.0,6.484595,1.0742043,6.9646,2.1615316666666664,0.35806809999999994,2.3215333333333334,0.17180166666666707,0.02473476666666663
Paris Saint Germain,7.0,5.0,2.0,0.0,21.0,6.0,17.0,19.949812,6.66816,17.1507,2.849973142857143,0.9525942857142857,2.4501,0.15002685714285713,0.09545142857142863,3.0,3.0,0.0,0.0,12.0,2.0,9.0,11.07353,3.8087370000000003,7.7348,3.6911766666666668,1.269579,2.5782666666666665,0.3088233333333332,0.6029123333333334,4.0,2.0,2.0,0.0,9.0,4.0,8.0,8.876282,2.859423,9.4159,2.2190705,0.71485575,2.353975,0.030929500000000054,-0.28514425
Marseille,7.0,4.0,2.0,1.0,16.0,8.0,14.0,10.58503,11.494168,9.6191,1.512147142857143,1.642024,1.3741571428571429,0.7735671428571427,0.49916685714285713,3.0,1.0,2.0,0.0,5.0,3.0,5.0,4.863907,3.9267700000000003,4.416,1.6213023333333334,1.3089233333333334,1.4720000000000002,0.04536433333333334,0.30892333333333344,4.0,3.0,0.0,1.0,11.0,5.0,9.0,5.7211229999999995,7.567398,5.2031,1.4302807499999999,1.8918495,1.300775,1.3197192500000001,0.6418495
Reims,7.0,4.0,2.0,1.0,14.0,10.0,14.0,12.303272699999999,11.576414,9.363999999999999,1.7576103857142855,1.6537734285714285,1.3377142857142856,0.24238961428571448,0.2252019999999999,4.0,2.0,1.0,1.0,7.0,6.0,7.0,6.5608246999999995,6.120164000000001,5.587400000000001,1.6402061749999999,1.5300410000000002,1.3968500000000001,0.10979382500000012,0.030041000000000206,3.0,2.0,1.0,0.0,7.0,4.0,7.0,5.7424479999999996,5.45625,3.7765999999999997,1.9141493333333333,1.8187499999999999,1.2588666666666666,0.4191840000000002,0.4854166666666666
Lille,7.0,4.0,1.0,2.0,13.0,8.0,13.0,15.13272,10.1773007,12.5269,2.161817142857143,1.4539001,1.7895571428571428,-0.3046742857142859,0.31104295714285723,4.0,2.0,1.0,1.0,8.0,7.0,7.0,6.513249999999999,8.435022,4.3635,1.6283124999999998,2.1087555,1.090875,0.37168750000000017,0.3587555,3.0,2.0,0.0,1.0,5.0,1.0,6.0,8.61947,1.7422787,8.1634,2.8731566666666666,0.5807595666666666,2.721133333333333,-1.2064899999999998,0.2474262333333333
Lens,7.0,2.0,5.0,0.0,7.0,4.0,11.0,11.944352,6.047128,13.000399999999999,1.706336,0.8638754285714285,1.8572,-0.7063360000000001,0.2924468571428571,3.0,1.0,2.0,0.0,2.0,0.0,5.0,6.7071439999999996,2.1860049999999998,6.423300000000001,2.2357146666666665,0.7286683333333333,2.1411000000000002,-1.569048,0.7286683333333333,4.0,1.0,3.0,0.0,5.0,4.0,6.0,5.237208,3.861123,6.577100000000001,1.309302,0.96528075,1.6442750000000002,-0.059301999999999966,-0.03471924999999998
Strasbourg,7.0,2.0,4.0,1.0,14.0,12.0,10.0,13.625589999999999,11.447398999999999,11.2091,1.946512857142857,1.6353427142857142,1.6013,0.053487142857143066,-0.07894299999999999,4.0,2.0,2.0,0.0,7.0,4.0,8.0,7.0538300000000005,4.470689,7.3612,1.7634575000000001,1.11767225,1.8403,-0.013457500000000122,0.11767225000000003,3.0,0.0,2.0,1.0,7.0,8.0,2.0,6.571759999999999,6.97671,3.8479,2.1905866666666665,2.32557,1.2826333333333333,0.14274666666666702,-0.3410966666666666
Lyon,7.0,3.0,1.0,3.0,10.0,12.0,10.0,13.028482299999999,10.412006,11.036299999999999,1.861211757142857,1.4874294285714285,1.5766142857142855,-0.4326403285714284,-0.22685628571428573,4.0,2.0,0.0,2.0,8.0,8.0,6.0,9.5679903,6.497626,7.3050999999999995,2.391997575,1.6244065,1.8262749999999999,-0.391997575,-0.3755934999999999,3.0,1.0,1.0,1.0,2.0,4.0,4.0,3.460492,3.9143800000000004,3.7312000000000003,1.1534973333333334,1.3047933333333335,1.2437333333333334,-0.48683066666666674,-0.028539999999999788
Brest,7.0,3.0,0.0,4.0,10.0,13.0,9.0,9.152190000000001,17.573312,4.7051,1.3074557142857144,2.510473142857143,0.6721571428571428,0.12111571428571422,0.653330285714286,4.0,3.0,0.0,1.0,9.0,5.0,9.0,6.721208,7.6912020000000005,4.1751,1.680302,1.9228005000000001,1.043775,0.569698,0.6728005000000001,3.0,0.0,0.0,3.0,1.0,8.0,0.0,2.430982,9.88211,0.53,0.8103273333333334,3.294036666666667,0.17666666666666667,-0.4769940000000001,0.6273700000000004
Nantes,7.0,2.0,3.0,2.0,9.0,8.0,9.0,9.834313,7.963201,11.419300000000002,1.404901857142857,1.1376001428571427,1.6313285714285717,-0.11918757142857128,-0.005257000000000067,3.0,1.0,1.0,1.0,5.0,4.0,4.0,5.57428,2.449756,6.555499999999999,1.8580933333333334,0.8165853333333333,2.1851666666666665,-0.19142666666666663,-0.516748,4.0,1.0,2.0,1.0,4.0,4.0,5.0,4.260033,5.513445000000001,4.8637999999999995,1.06500825,1.3783612500000002,1.2159499999999999,-0.06500824999999999,0.3783612500000002
Nice,7.0,2.0,3.0,2.0,15.0,7.0,9.0,11.860235999999999,9.560171999999998,10.4338,1.6943194285714285,1.3657388571428568,1.4905428571428572,0.4485377142857143,0.3657388571428568,3.0,1.0,2.0,0.0,10.0,2.0,5.0,6.063786,2.104472,5.4296999999999995,2.021262,0.7014906666666666,1.8098999999999998,1.3120713333333334,0.034823999999999966,4.0,1.0,1.0,2.0,5.0,5.0,4.0,5.79645,7.455699999999999,5.0041,1.4491125,1.8639249999999998,1.251025,-0.19911250000000003,0.6139249999999998
