Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Pride,11.0,8.0,3.0,0.0,23.0,5.0,18.0,27.0,2.45,21.3,11.4,9.9,0.9,1.9363636363636365,1.0363636363636364,0.15454545454545432,0.5818181818181818,11.0,8.0,3.0,0.0,18.0,8.0,10.0,27.0,2.45,18.0,11.2,6.7,0.61,1.6363636363636365,1.018181818181818,0.0,0.2909090909090908
Spirit,11.0,8.0,1.0,2.0,25.0,13.0,12.0,25.0,2.27,22.6,11.3,11.3,1.03,2.0545454545454547,1.0272727272727273,0.21818181818181825,-0.15454545454545454,11.0,7.0,1.0,3.0,19.0,12.0,7.0,22.0,2.0,16.3,12.8,3.5,0.32,1.481818181818182,1.1636363636363638,0.24545454545454537,0.07272727272727297
Gotham,11.0,7.0,3.0,1.0,15.0,9.0,6.0,24.0,2.18,14.2,9.9,4.2,0.38,1.2909090909090908,0.9,0.07272727272727275,0.08181818181818179,11.0,6.0,2.0,3.0,12.0,9.0,3.0,20.0,1.82,15.5,12.0,3.5,0.32,1.4090909090909092,1.0909090909090908,-0.31818181818181834,0.2727272727272726
Current,12.0,8.0,3.0,1.0,33.0,18.0,15.0,27.0,2.25,26.7,12.4,14.2,1.19,2.225,1.0333333333333334,0.5249999999999999,-0.46666666666666656,10.0,4.0,4.0,2.0,14.0,11.0,3.0,16.0,1.6,20.0,8.3,11.7,1.17,2.0,0.8300000000000001,-0.6000000000000001,-0.27
Courage,10.0,8.0,2.0,0.0,19.0,5.0,14.0,26.0,2.6,15.6,11.9,3.7,0.37,1.56,1.19,0.33999999999999986,0.69,12.0,3.0,0.0,9.0,12.0,19.0,-7.0,9.0,0.75,13.5,18.6,-5.1,-0.42,1.125,1.55,-0.125,-0.033333333333333215
Red Stars,11.0,4.0,0.0,7.0,11.0,16.0,-5.0,12.0,1.09,12.9,17.6,-4.7,-0.43,1.1727272727272728,1.6,-0.17272727272727284,0.1454545454545455,11.0,5.0,2.0,4.0,17.0,15.0,2.0,17.0,1.55,13.1,17.7,-4.5,-0.41,1.190909090909091,1.6090909090909091,0.3545454545454545,0.2454545454545456
Thorns,10.0,5.0,1.0,4.0,16.0,13.0,3.0,16.0,1.6,16.1,13.3,2.8,0.28,1.61,1.33,-0.010000000000000009,0.030000000000000027,12.0,3.0,3.0,6.0,15.0,19.0,-4.0,12.0,1.0,17.2,19.6,-2.4,-0.2,1.4333333333333333,1.6333333333333335,-0.18333333333333335,0.050000000000000266
Bay FC,11.0,4.0,0.0,7.0,12.0,18.0,-6.0,12.0,1.09,12.7,16.9,-4.1,-0.37,1.1545454545454545,1.5363636363636362,-0.06363636363636371,-0.10000000000000031,11.0,5.0,1.0,5.0,14.0,15.0,-1.0,16.0,1.45,18.0,13.9,4.1,0.37,1.6363636363636365,1.2636363636363637,-0.36363636363636376,-0.09999999999999987
Louisville,11.0,5.0,2.0,4.0,19.0,14.0,5.0,17.0,1.55,16.6,11.5,5.0,0.46,1.5090909090909093,1.0454545454545454,0.21818181818181803,-0.2272727272727273,11.0,1.0,5.0,5.0,11.0,16.0,-5.0,8.0,0.73,14.3,17.9,-3.6,-0.32,1.3,1.6272727272727272,-0.30000000000000004,0.17272727272727262
Wave,11.0,4.0,3.0,4.0,13.0,15.0,-2.0,15.0,1.36,15.4,16.5,-1.1,-0.1,1.4000000000000001,1.5,-0.21818181818181825,0.13636363636363646,11.0,1.0,4.0,6.0,6.0,11.0,-5.0,7.0,0.64,14.0,15.7,-1.8,-0.16,1.2727272727272727,1.4272727272727272,-0.7272727272727273,0.42727272727272725
Angel City,12.0,3.0,2.0,7.0,14.0,21.0,-7.0,11.0,0.92,15.8,23.4,-7.6,-0.64,1.3166666666666667,1.95,-0.1499999999999999,0.19999999999999996,10.0,3.0,2.0,5.0,12.0,16.0,-4.0,11.0,1.1,14.4,12.8,1.7,0.17,1.44,1.28,-0.24,-0.32000000000000006
Reign,11.0,3.0,4.0,4.0,9.0,11.0,-2.0,13.0,1.18,14.1,12.0,2.1,0.19,1.2818181818181817,1.0909090909090908,-0.4636363636363635,0.09090909090909083,11.0,2.0,1.0,8.0,14.0,25.0,-11.0,7.0,0.64,12.9,17.3,-4.3,-0.39,1.1727272727272728,1.5727272727272728,0.09999999999999987,-0.7000000000000002
Royals,11.0,3.0,2.0,6.0,7.0,11.0,-4.0,11.0,1.0,10.9,18.0,-7.2,-0.65,0.990909090909091,1.6363636363636365,-0.3545454545454546,0.6363636363636365,11.0,2.0,1.0,8.0,8.0,23.0,-15.0,7.0,0.64,11.9,26.3,-14.5,-1.32,1.0818181818181818,2.390909090909091,-0.3545454545454545,0.30000000000000027
Dash,11.0,2.0,4.0,5.0,7.0,11.0,-4.0,10.0,0.91,10.3,22.8,-12.6,-1.14,0.9363636363636364,2.0727272727272728,-0.30000000000000004,1.0727272727272728,11.0,2.0,1.0,8.0,8.0,24.0,-16.0,7.0,0.64,9.7,21.0,-11.3,-1.02,0.8818181818181817,1.9090909090909092,-0.15454545454545443,-0.2727272727272725
