Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Inter Miami,16.0,10.0,4.0,2.0,39.0,20.0,19.0,34.0,2.13,29.0,23.6,5.4,0.34,1.8125,1.475,0.625,0.2250000000000001,17.0,11.0,4.0,2.0,34.0,27.0,7.0,37.0,2.18,21.1,27.1,-6.0,-0.35,1.2411764705882353,1.5941176470588236,0.7588235294117647,0.005882352941176672
Columbus Crew,16.0,9.0,4.0,3.0,34.0,21.0,13.0,31.0,1.94,26.2,18.5,7.7,0.48,1.6375,1.15625,0.48750000000000004,-0.15625,16.0,8.0,5.0,3.0,31.0,17.0,14.0,29.0,1.81,26.8,23.1,3.7,0.23,1.675,1.44375,0.26249999999999996,0.3812500000000001
FC Cincinnati,17.0,7.0,3.0,7.0,26.0,22.0,4.0,24.0,1.41,26.8,17.4,9.4,0.55,1.576470588235294,1.0235294117647058,-0.04705882352941182,-0.2705882352941178,16.0,10.0,2.0,4.0,30.0,25.0,5.0,32.0,2.0,20.1,21.7,-1.6,-0.1,1.25625,1.35625,0.6187499999999999,-0.20625000000000004
Orlando City,16.0,7.0,4.0,5.0,27.0,16.0,11.0,25.0,1.56,26.0,21.8,4.3,0.27,1.625,1.3625,0.0625,0.36250000000000004,17.0,8.0,3.0,6.0,31.0,32.0,-1.0,27.0,1.59,23.1,23.8,-0.8,-0.05,1.3588235294117648,1.4000000000000001,0.4647058823529411,-0.48235294117647043
NYCFC,17.0,10.0,3.0,4.0,35.0,25.0,10.0,33.0,1.94,32.2,22.8,9.4,0.55,1.8941176470588237,1.3411764705882354,0.1647058823529408,-0.12941176470588234,16.0,4.0,5.0,7.0,19.0,22.0,-3.0,17.0,1.06,20.8,23.7,-2.9,-0.18,1.3,1.48125,-0.11250000000000004,0.10624999999999996
Charlotte,17.0,9.0,5.0,3.0,25.0,15.0,10.0,32.0,1.88,24.9,20.6,4.3,0.25,1.464705882352941,1.211764705882353,0.005882352941176672,0.3294117647058825,16.0,4.0,4.0,8.0,18.0,22.0,-4.0,16.0,1.0,19.7,23.5,-3.8,-0.24,1.23125,1.46875,-0.10624999999999996,0.09375
NY Red Bulls,16.0,7.0,7.0,2.0,29.0,20.0,9.0,28.0,1.75,28.2,14.8,13.4,0.84,1.7625,0.925,0.050000000000000044,-0.32499999999999996,17.0,4.0,7.0,6.0,24.0,27.0,-3.0,19.0,1.12,26.1,27.5,-1.4,-0.08,1.535294117647059,1.6176470588235294,-0.12352941176470589,0.02941176470588247
D.C. United,16.0,4.0,5.0,7.0,26.0,33.0,-7.0,17.0,1.06,30.7,21.9,8.8,0.55,1.91875,1.36875,-0.29374999999999996,-0.6937500000000001,17.0,6.0,5.0,6.0,26.0,34.0,-8.0,23.0,1.35,21.2,27.2,-6.0,-0.35,1.2470588235294118,1.5999999999999999,0.2823529411764705,-0.40000000000000013
CF Montréal,16.0,7.0,5.0,4.0,26.0,23.0,3.0,26.0,1.63,24.4,20.9,3.5,0.22,1.525,1.30625,0.10000000000000009,-0.1312500000000001,17.0,3.0,5.0,9.0,20.0,41.0,-21.0,14.0,0.82,18.4,36.1,-17.6,-1.04,1.0823529411764705,2.123529411764706,0.09411764705882364,-0.2882352941176469
Toronto FC,17.0,7.0,0.0,10.0,27.0,32.0,-5.0,21.0,1.24,23.5,23.4,0.1,0.01,1.3823529411764706,1.3764705882352941,0.2058823529411764,-0.5058823529411764,17.0,4.0,4.0,9.0,13.0,29.0,-16.0,16.0,0.94,15.3,25.1,-9.7,-0.57,0.9,1.4764705882352942,-0.1352941176470589,-0.2294117647058822
