Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Bodø/Glimt,11.0,8.0,3.0,0.0,31.0,8.0,23.0,27.0,2.45,2.8181818181818183,0.7272727272727273,11.0,7.0,2.0,2.0,21.0,9.0,12.0,23.0,2.09,1.9090909090909092,0.8181818181818182
Molde,11.0,6.0,2.0,3.0,29.0,15.0,14.0,20.0,1.82,2.6363636363636362,1.3636363636363635,11.0,6.0,2.0,3.0,19.0,9.0,10.0,20.0,1.82,1.7272727272727273,0.8181818181818182
Viking,12.0,8.0,3.0,1.0,23.0,12.0,11.0,27.0,2.25,1.9166666666666667,1.0,10.0,3.0,4.0,3.0,17.0,15.0,2.0,13.0,1.3,1.7,1.5
Brann,11.0,6.0,2.0,3.0,15.0,11.0,4.0,20.0,1.82,1.3636363636363635,1.0,11.0,5.0,5.0,1.0,22.0,16.0,6.0,20.0,1.82,2.0,1.4545454545454546
Rosenborg,11.0,8.0,1.0,2.0,19.0,11.0,8.0,25.0,2.27,1.7272727272727273,1.0,11.0,2.0,3.0,6.0,16.0,23.0,-7.0,9.0,0.82,1.4545454545454546,2.090909090909091
Fredrikstad,11.0,4.0,5.0,2.0,12.0,11.0,1.0,17.0,1.55,1.0909090909090908,1.0,11.0,5.0,2.0,4.0,16.0,16.0,0.0,17.0,1.55,1.4545454545454546,1.4545454545454546
KFUM Oslo,11.0,2.0,5.0,4.0,11.0,15.0,-4.0,11.0,1.0,1.0,1.3636363636363635,11.0,5.0,3.0,3.0,15.0,12.0,3.0,18.0,1.64,1.3636363636363635,1.0909090909090908
Sarpsborg 08,11.0,3.0,2.0,6.0,13.0,22.0,-9.0,11.0,1.0,1.1818181818181819,2.0,11.0,4.0,3.0,4.0,19.0,23.0,-4.0,15.0,1.36,1.7272727272727273,2.090909090909091
HamKam,10.0,2.0,4.0,4.0,9.0,11.0,-2.0,10.0,1.0,0.9,1.1,12.0,4.0,3.0,5.0,15.0,17.0,-2.0,15.0,1.25,1.25,1.4166666666666667
Kristiansund,10.0,4.0,4.0,2.0,17.0,17.0,0.0,16.0,1.6,1.7,1.7,11.0,2.0,3.0,6.0,10.0,15.0,-5.0,9.0,0.82,0.9090909090909091,1.3636363636363635
Tromsø,11.0,3.0,2.0,6.0,16.0,18.0,-2.0,11.0,1.0,1.4545454545454546,1.6363636363636365,11.0,4.0,2.0,5.0,6.0,10.0,-4.0,14.0,1.27,0.5454545454545454,0.9090909090909091
Strømsgodset,10.0,3.0,3.0,4.0,12.0,12.0,0.0,12.0,1.2,1.2,1.2,12.0,3.0,3.0,6.0,13.0,23.0,-10.0,12.0,1.0,1.0833333333333333,1.9166666666666667
Haugesund,11.0,4.0,1.0,6.0,7.0,11.0,-4.0,13.0,1.18,0.6363636363636364,1.0,11.0,2.0,4.0,5.0,16.0,21.0,-5.0,10.0,0.91,1.4545454545454546,1.9090909090909092
Sandefjord,11.0,5.0,2.0,4.0,20.0,18.0,2.0,17.0,1.55,1.8181818181818181,1.6363636363636365,10.0,0.0,5.0,5.0,11.0,17.0,-6.0,5.0,0.5,1.1,1.7
Lillestrøm,11.0,2.0,3.0,6.0,12.0,22.0,-10.0,9.0,0.82,1.0909090909090908,2.0,11.0,4.0,0.0,7.0,13.0,19.0,-6.0,12.0,1.09,1.1818181818181819,1.7272727272727273
Odd,12.0,3.0,4.0,5.0,15.0,21.0,-6.0,13.0,1.08,1.25,1.75,10.0,2.0,2.0,6.0,6.0,16.0,-10.0,8.0,0.8,0.6,1.6
