Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Libertad,16.0,10.0,3.0,3.0,33.0,14.0,19.0,33.0,2.06,2.0625,0.875,17.0,8.0,7.0,2.0,22.0,15.0,7.0,31.0,1.82,1.2941176470588236,0.8823529411764706
Cerro Porteño,17.0,9.0,5.0,3.0,25.0,12.0,13.0,32.0,1.88,1.4705882352941178,0.7058823529411765,16.0,9.0,4.0,3.0,29.0,14.0,15.0,31.0,1.94,1.8125,0.875
Olimpia,17.0,9.0,5.0,3.0,28.0,19.0,9.0,32.0,1.88,1.6470588235294117,1.1176470588235294,16.0,7.0,7.0,2.0,17.0,10.0,7.0,28.0,1.75,1.0625,0.625
Sport Luqueño,16.0,5.0,5.0,6.0,18.0,23.0,-5.0,20.0,1.25,1.125,1.4375,17.0,7.0,3.0,7.0,21.0,21.0,0.0,24.0,1.41,1.2352941176470589,1.2352941176470589
Guaraní,16.0,5.0,8.0,3.0,16.0,12.0,4.0,23.0,1.44,1.0,0.75,17.0,6.0,6.0,5.0,25.0,21.0,4.0,24.0,1.41,1.4705882352941178,1.2352941176470589
2 de Mayo,16.0,8.0,5.0,3.0,20.0,12.0,8.0,29.0,1.81,1.25,0.75,17.0,6.0,2.0,9.0,20.0,23.0,-3.0,20.0,1.18,1.1764705882352942,1.3529411764705883
Sol de América,17.0,6.0,3.0,8.0,21.0,24.0,-3.0,21.0,1.24,1.2352941176470589,1.411764705882353,16.0,2.0,3.0,11.0,11.0,29.0,-18.0,9.0,0.56,0.6875,1.8125
Tacuary,17.0,1.0,7.0,9.0,16.0,30.0,-14.0,10.0,0.59,0.9411764705882353,1.7647058823529411,16.0,7.0,3.0,6.0,21.0,24.0,-3.0,24.0,1.5,1.3125,1.5
Sportivo Ameliano,16.0,6.0,3.0,7.0,15.0,21.0,-6.0,21.0,1.31,0.9375,1.3125,17.0,3.0,7.0,7.0,13.0,20.0,-7.0,16.0,0.94,0.7647058823529411,1.1764705882352942
Nacional,17.0,7.0,5.0,5.0,20.0,16.0,4.0,26.0,1.53,1.1764705882352942,0.9411764705882353,16.0,4.0,3.0,9.0,14.0,24.0,-10.0,15.0,0.94,0.875,1.5
Sportivo Trinidense,16.0,4.0,2.0,10.0,20.0,23.0,-3.0,14.0,0.88,1.25,1.4375,17.0,5.0,4.0,8.0,24.0,26.0,-2.0,19.0,1.12,1.411764705882353,1.5294117647058822
Club General Caballero JLM,17.0,5.0,6.0,6.0,18.0,24.0,-6.0,21.0,1.24,1.0588235294117647,1.411764705882353,16.0,2.0,8.0,6.0,13.0,23.0,-10.0,14.0,0.88,0.8125,1.4375
