Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Universitario,17.0,17.0,0.0,0.0,43.0,5.0,38.0,51.0,3.0,2.5294117647058822,0.29411764705882354,16.0,6.0,7.0,3.0,20.0,12.0,8.0,25.0,1.56,1.25,0.75
Sporting Cristal,16.0,14.0,1.0,1.0,49.0,10.0,39.0,43.0,2.69,3.0625,0.625,17.0,8.0,4.0,5.0,39.0,25.0,14.0,28.0,1.65,2.2941176470588234,1.4705882352941178
Melgar,16.0,14.0,1.0,1.0,33.0,9.0,24.0,43.0,2.69,2.0625,0.5625,17.0,7.0,5.0,5.0,32.0,25.0,7.0,26.0,1.53,1.8823529411764706,1.4705882352941178
Alianza Lima,16.0,12.0,2.0,2.0,30.0,9.0,21.0,38.0,2.38,1.875,0.5625,17.0,10.0,1.0,6.0,26.0,16.0,10.0,31.0,1.82,1.5294117647058822,0.9411764705882353
Cusco,17.0,12.0,3.0,2.0,30.0,13.0,17.0,39.0,2.29,1.7647058823529411,0.7647058823529411,16.0,5.0,3.0,8.0,18.0,30.0,-12.0,18.0,1.13,1.125,1.875
Asociación Deportiva Tarma,16.0,10.0,3.0,3.0,28.0,13.0,15.0,33.0,2.06,1.75,0.8125,17.0,3.0,6.0,8.0,18.0,27.0,-9.0,15.0,0.88,1.0588235294117647,1.588235294117647
Cienciano,16.0,7.0,6.0,3.0,23.0,16.0,7.0,27.0,1.69,1.4375,1.0,17.0,6.0,4.0,7.0,18.0,28.0,-10.0,22.0,1.29,1.0588235294117647,1.6470588235294117
Comerciantes Unidos,17.0,6.0,6.0,5.0,20.0,19.0,1.0,24.0,1.41,1.1764705882352942,1.1176470588235294,16.0,3.0,2.0,11.0,16.0,38.0,-22.0,11.0,0.69,1.0,2.375
CDC Santa Rosa,16.0,9.0,4.0,3.0,29.0,13.0,16.0,31.0,1.94,1.8125,0.8125,17.0,1.0,4.0,12.0,13.0,34.0,-21.0,7.0,0.41,0.7647058823529411,2.0
U César Vallejo,17.0,6.0,8.0,3.0,23.0,20.0,3.0,26.0,1.53,1.3529411764705883,1.1764705882352942,16.0,0.0,4.0,12.0,10.0,32.0,-22.0,4.0,0.25,0.625,2.0
Atlético Grau,16.0,6.0,9.0,1.0,26.0,11.0,15.0,27.0,1.69,1.625,0.6875,17.0,5.0,6.0,6.0,15.0,16.0,-1.0,21.0,1.24,0.8823529411764706,0.9411764705882353
Sport Boys,17.0,7.0,5.0,5.0,20.0,20.0,0.0,26.0,1.53,1.1764705882352942,1.1764705882352942,16.0,2.0,3.0,11.0,12.0,30.0,-18.0,9.0,0.56,0.75,1.875
Sport Huancayo,17.0,7.0,4.0,6.0,24.0,22.0,2.0,25.0,1.47,1.411764705882353,1.2941176470588236,16.0,3.0,3.0,10.0,14.0,34.0,-20.0,12.0,0.75,0.875,2.125
UTC,16.0,7.0,3.0,6.0,27.0,24.0,3.0,24.0,1.5,1.6875,1.5,17.0,0.0,6.0,11.0,7.0,28.0,-21.0,6.0,0.35,0.4117647058823529,1.6470588235294117
Deportivo Garcilaso,17.0,7.0,3.0,7.0,19.0,19.0,0.0,24.0,1.41,1.1176470588235294,1.1176470588235294,16.0,3.0,3.0,10.0,17.0,23.0,-6.0,12.0,0.75,1.0625,1.4375
Alianza Atlético,17.0,8.0,5.0,4.0,19.0,12.0,7.0,29.0,1.71,1.1176470588235294,0.7058823529411765,16.0,3.0,5.0,8.0,7.0,20.0,-13.0,14.0,0.88,0.4375,1.25
Mannucci,16.0,5.0,5.0,6.0,18.0,26.0,-8.0,20.0,1.25,1.125,1.625,17.0,2.0,4.0,11.0,14.0,36.0,-22.0,10.0,0.59,0.8235294117647058,2.1176470588235294
Unión Comercio,17.0,3.0,5.0,9.0,22.0,43.0,-21.0,14.0,0.82,1.2941176470588236,2.5294117647058822,16.0,0.0,3.0,13.0,8.0,29.0,-21.0,3.0,0.19,0.5,1.8125
