Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Manchester City,2.0,2.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,5.6,1.3,4.4,2.18,2.8,0.65,-1.2999999999999998,0.65,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.4,2.2,-0.9,-0.87,1.4,2.2,0.6000000000000001,0.20000000000000018
Chelsea,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.1,0.9,0.2,0.2,1.1,0.9,-0.10000000000000009,0.9,1.0,1.0,0.0,0.0,7.0,0.0,7.0,3.0,3.0,2.8,0.3,2.5,2.47,2.8,0.3,4.2,0.3
Brighton,2.0,2.0,0.0,0.0,8.0,2.0,6.0,6.0,3.0,4.6,2.8,1.8,0.92,2.3,1.4,1.7000000000000002,0.3999999999999999,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.8,3.0,-2.3,-2.27,0.8,3.0,-0.8,2.0
Manchester Utd,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,1.2,0.9,0.4,0.36,1.2,0.9,1.8,0.9,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.1,0.7,0.4,0.38,1.1,0.7,-0.10000000000000009,0.7
Liverpool,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4,0.2,1.1,1.13,1.4,0.2,-0.3999999999999999,-0.8,2.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,2.0,2.9,1.5,1.4,0.7,1.45,0.75,0.55,-0.75
Arsenal,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,1.5,1.5,0.73,1.5,0.75,-0.5,-0.25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.4,0.4,1.0,0.99,1.4,0.4,-0.3999999999999999,0.4
Tottenham,2.0,1.0,0.0,1.0,6.0,3.0,3.0,3.0,1.5,5.0,1.7,3.3,1.63,2.5,0.85,0.5,-0.65,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.3,1.9,-0.6,-0.65,1.3,1.9,0.7,-0.10000000000000009
Crystal Palace,1.0,0.0,0.0,1.0,0.0,7.0,-7.0,0.0,0.0,0.3,2.8,-2.5,-2.47,0.3,2.8,-0.3,-4.2,2.0,1.0,0.0,1.0,2.0,4.0,-2.0,3.0,1.5,1.5,5.7,-4.3,-2.13,0.75,2.85,0.25,0.8500000000000001
Aston Villa,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.9,1.3,0.6,0.65,1.9,1.3,0.10000000000000009,-0.7,2.0,0.0,0.0,2.0,2.0,5.0,-3.0,0.0,0.0,3.2,3.6,-0.4,-0.2,1.6,1.8,-0.6000000000000001,-0.7
Leicester City,2.0,0.0,0.0,2.0,0.0,3.0,-3.0,0.0,0.0,2.1,2.6,-0.6,-0.29,1.05,1.3,-1.05,-0.19999999999999996,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,1.4,-1.1,-1.13,0.2,1.4,0.8,0.3999999999999999
West Ham,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7,1.5,-0.8,-0.8,0.7,1.5,0.30000000000000004,0.5,2.0,0.0,0.0,2.0,0.0,5.0,-5.0,0.0,0.0,1.4,3.8,-2.5,-1.23,0.7,1.9,-0.7,-0.6000000000000001
Everton,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.7,1.1,-0.4,-0.38,0.7,1.1,-0.7,0.10000000000000009,2.0,0.0,1.0,1.0,0.0,4.0,-4.0,1.0,0.5,0.6,2.8,-2.2,-1.11,0.3,1.4,-0.3,-0.6000000000000001
