Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Sporting CP,4.0,4.0,0.0,0.0,10.0,1.0,9.0,12.0,3.0,10.1,1.5,8.6,2.15,2.525,0.375,-0.02499999999999991,0.125,4.0,4.0,0.0,0.0,17.0,1.0,16.0,12.0,3.0,12.1,1.8,10.3,2.57,3.025,0.45,1.225,0.2
Porto,5.0,5.0,0.0,0.0,13.0,2.0,11.0,15.0,3.0,15.2,2.2,12.9,2.58,3.04,0.44000000000000006,-0.43999999999999995,0.040000000000000036,3.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,2.0,3.4,3.8,-0.4,-0.14,1.1333333333333333,1.2666666666666666,0.5333333333333334,0.6
Benfica,4.0,4.0,0.0,0.0,13.0,2.0,11.0,12.0,3.0,10.0,2.2,7.8,1.95,2.5,0.55,0.75,0.050000000000000044,3.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.33,4.3,2.0,2.2,0.74,1.4333333333333333,0.6666666666666666,-0.10000000000000009,-0.33333333333333337
Santa Clara,4.0,3.0,0.0,1.0,4.0,3.0,1.0,9.0,2.25,5.9,2.3,3.6,0.9,1.475,0.575,-0.4750000000000001,-0.17500000000000004,4.0,2.0,0.0,2.0,7.0,6.0,1.0,6.0,1.5,5.1,3.9,1.2,0.29,1.275,0.975,0.4750000000000001,-0.525
Vitória,4.0,2.0,1.0,1.0,5.0,6.0,-1.0,7.0,1.75,5.7,4.7,1.0,0.26,1.425,1.175,-0.17500000000000004,-0.32499999999999996,4.0,2.0,1.0,1.0,4.0,2.0,2.0,7.0,1.75,3.7,3.2,0.5,0.12,0.925,0.8,0.07499999999999996,0.30000000000000004
Braga,4.0,2.0,1.0,1.0,8.0,4.0,4.0,7.0,1.75,6.7,5.0,1.7,0.44,1.675,1.25,0.32499999999999996,0.25,4.0,2.0,1.0,1.0,5.0,2.0,3.0,7.0,1.75,5.1,4.3,0.8,0.2,1.275,1.075,-0.02499999999999991,0.575
Famalicão,4.0,2.0,2.0,0.0,4.0,1.0,3.0,8.0,2.0,4.2,2.4,1.8,0.44,1.05,0.6,-0.050000000000000044,0.35,4.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0,1.25,2.7,5.0,-2.3,-0.58,0.675,1.25,0.575,0.5
Moreirense,4.0,2.0,2.0,0.0,5.0,2.0,3.0,8.0,2.0,3.6,3.7,-0.1,-0.03,0.9,0.925,0.35,0.42500000000000004,4.0,1.0,0.0,3.0,5.0,9.0,-4.0,3.0,0.75,6.7,5.7,1.1,0.26,1.675,1.425,-0.42500000000000004,-0.825
Gil Vicente FC,4.0,2.0,2.0,0.0,8.0,3.0,5.0,8.0,2.0,6.1,4.3,1.8,0.44,1.525,1.075,0.4750000000000001,0.32499999999999996,4.0,0.0,2.0,2.0,2.0,9.0,-7.0,2.0,0.5,3.9,8.6,-4.7,-1.17,0.975,2.15,-0.475,-0.10000000000000009
AVS Futebol,4.0,2.0,2.0,0.0,3.0,1.0,2.0,8.0,2.0,2.9,3.3,-0.4,-0.11,0.725,0.825,0.025000000000000022,0.575,4.0,0.0,1.0,3.0,4.0,10.0,-6.0,1.0,0.25,4.5,6.5,-2.0,-0.49,1.125,1.625,-0.125,-0.875
Casa Pia,4.0,1.0,1.0,2.0,4.0,5.0,-1.0,4.0,1.0,5.2,3.0,2.2,0.56,1.3,0.75,-0.30000000000000004,-0.5,4.0,1.0,1.0,2.0,2.0,6.0,-4.0,4.0,1.0,2.8,6.7,-3.9,-0.98,0.7,1.675,-0.19999999999999996,0.17500000000000004
Rio Ave,4.0,2.0,2.0,0.0,5.0,3.0,2.0,8.0,2.0,7.7,3.6,4.1,1.03,1.925,0.9,-0.675,0.15000000000000002,4.0,0.0,0.0,4.0,1.0,10.0,-9.0,0.0,0.0,2.3,10.2,-7.9,-1.97,0.575,2.55,-0.32499999999999996,0.04999999999999982
Arouca,4.0,1.0,1.0,2.0,2.0,5.0,-3.0,4.0,1.0,2.7,7.4,-4.8,-1.19,0.675,1.85,-0.17500000000000004,0.6000000000000001,4.0,1.0,0.0,3.0,2.0,8.0,-6.0,3.0,0.75,2.8,8.3,-5.5,-1.38,0.7,2.075,-0.19999999999999996,0.07500000000000018
Boavista,3.0,0.0,1.0,2.0,0.0,4.0,-4.0,1.0,0.33,2.5,3.3,-0.8,-0.26,0.8333333333333334,1.0999999999999999,-0.8333333333333334,-0.2333333333333334,5.0,1.0,2.0,2.0,5.0,6.0,-1.0,5.0,1.0,5.9,7.3,-1.4,-0.27,1.1800000000000002,1.46,-0.18000000000000016,0.26
Estoril,4.0,1.0,1.0,2.0,2.0,7.0,-5.0,4.0,1.0,1.9,9.0,-7.2,-1.79,0.475,2.25,0.025000000000000022,0.5,4.0,0.0,2.0,2.0,2.0,4.0,-2.0,2.0,0.5,3.3,7.0,-3.7,-0.93,0.825,1.75,-0.32499999999999996,0.75
Estrela,4.0,1.0,1.0,2.0,4.0,7.0,-3.0,4.0,1.0,3.2,5.9,-2.8,-0.7,0.8,1.475,0.19999999999999996,-0.2749999999999999,4.0,0.0,1.0,3.0,1.0,6.0,-5.0,1.0,0.25,2.0,5.7,-3.7,-0.93,0.5,1.425,-0.25,-0.07499999999999996
Nacional,3.0,1.0,0.0,2.0,3.0,9.0,-6.0,3.0,1.0,4.4,5.8,-1.5,-0.49,1.4666666666666668,1.9333333333333333,-0.4666666666666668,-1.0666666666666667,4.0,0.0,2.0,2.0,1.0,3.0,-2.0,2.0,0.5,4.7,4.2,0.5,0.13,1.175,1.05,-0.925,0.30000000000000004
Farense,4.0,1.0,0.0,3.0,2.0,8.0,-6.0,3.0,0.75,4.4,7.9,-3.5,-0.87,1.1,1.975,-0.6000000000000001,-0.02499999999999991,4.0,0.0,1.0,3.0,1.0,5.0,-4.0,1.0,0.25,2.2,7.9,-5.7,-1.42,0.55,1.975,-0.30000000000000004,0.7250000000000001
