Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Al-Hilal,4.0,4.0,0.0,0.0,11.0,3.0,8.0,12.0,3.0,2.75,0.75,4.0,4.0,0.0,0.0,12.0,3.0,9.0,12.0,3.0,3.0,0.75
Al-Ittihad,4.0,4.0,0.0,0.0,16.0,4.0,12.0,12.0,3.0,4.0,1.0,4.0,3.0,0.0,1.0,5.0,4.0,1.0,9.0,2.25,1.25,1.0
Al-Nassr,4.0,2.0,2.0,0.0,7.0,2.0,5.0,8.0,2.0,1.75,0.5,4.0,3.0,1.0,0.0,12.0,5.0,7.0,10.0,2.5,3.0,1.25
Al-Shabab,4.0,2.0,0.0,2.0,4.0,4.0,0.0,6.0,1.5,1.0,1.0,4.0,3.0,0.0,1.0,5.0,1.0,4.0,9.0,2.25,1.25,0.25
Al-Riyadh SC,4.0,2.0,0.0,2.0,5.0,6.0,-1.0,6.0,1.5,1.25,1.5,4.0,2.0,1.0,1.0,6.0,6.0,0.0,7.0,1.75,1.5,1.5
Al-Qadsiah,4.0,3.0,0.0,1.0,6.0,2.0,4.0,9.0,2.25,1.5,0.5,4.0,1.0,1.0,2.0,3.0,5.0,-2.0,4.0,1.0,0.75,1.25
Al-Raed,4.0,1.0,1.0,2.0,5.0,6.0,-1.0,4.0,1.0,1.25,1.5,4.0,2.0,1.0,1.0,8.0,3.0,5.0,7.0,1.75,2.0,0.75
Al-Taawoun,4.0,3.0,1.0,0.0,6.0,1.0,5.0,10.0,2.5,1.5,0.25,4.0,0.0,1.0,3.0,3.0,7.0,-4.0,1.0,0.25,0.75,1.75
Al-Ettifaq,4.0,1.0,0.0,3.0,3.0,7.0,-4.0,3.0,0.75,0.75,1.75,4.0,2.0,2.0,0.0,5.0,3.0,2.0,8.0,2.0,1.25,0.75
Al-Ahli,4.0,2.0,1.0,1.0,8.0,5.0,3.0,7.0,1.75,2.0,1.25,4.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,0.75
Al-Khaleej,4.0,1.0,1.0,2.0,1.0,4.0,-3.0,4.0,1.0,0.25,1.0,4.0,2.0,0.0,2.0,5.0,7.0,-2.0,6.0,1.5,1.25,1.75
Al-Orobah,3.0,2.0,0.0,1.0,2.0,3.0,-1.0,6.0,2.0,0.6666666666666666,1.0,5.0,1.0,1.0,3.0,7.0,12.0,-5.0,4.0,0.8,1.4,2.4
Damac,4.0,2.0,1.0,1.0,6.0,4.0,2.0,7.0,1.75,1.5,1.0,4.0,0.0,0.0,4.0,5.0,10.0,-5.0,0.0,0.0,1.25,2.5
Al Kholood Saudi Club,4.0,0.0,2.0,2.0,8.0,11.0,-3.0,2.0,0.5,2.0,2.75,4.0,1.0,1.0,2.0,3.0,5.0,-2.0,4.0,1.0,0.75,1.25
Al-Fayha,4.0,1.0,1.0,2.0,4.0,10.0,-6.0,4.0,1.0,1.0,2.5,4.0,0.0,2.0,2.0,2.0,6.0,-4.0,2.0,0.5,0.5,1.5
Al-Wehda,5.0,1.0,2.0,2.0,8.0,10.0,-2.0,5.0,1.0,1.6,2.0,3.0,0.0,1.0,2.0,3.0,11.0,-8.0,1.0,0.33,1.0,3.6666666666666665
Al Okhdood SC,4.0,0.0,1.0,3.0,1.0,6.0,-5.0,1.0,0.25,0.25,1.5,4.0,1.0,1.0,2.0,6.0,7.0,-1.0,4.0,1.0,1.5,1.75
Al-Fateh,4.0,1.0,1.0,2.0,5.0,7.0,-2.0,4.0,1.0,1.25,1.75,4.0,0.0,0.0,4.0,1.0,8.0,-7.0,0.0,0.0,0.25,2.0
