Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Napoli,6.0,4.0,1.0,1.0,11.0,4.0,13.0,8.401489,5.851337,9.9725,1.4002481666666666,0.9752228333333334,1.6620833333333334,0.43308516666666663,0.30855616666666674,3.0,3.0,0.0,0.0,7.0,1.0,9.0,5.76449,2.745095,6.4676,1.9214966666666669,0.9150316666666667,2.155866666666667,0.41183666666666663,0.5816983333333334,3.0,1.0,1.0,1.0,4.0,3.0,4.0,2.6369990000000003,3.106242,3.5049000000000006,0.8789996666666667,1.035414,1.1683000000000001,0.4543336666666665,0.03541400000000006
Juventus,6.0,3.0,3.0,0.0,9.0,0.0,12.0,7.145967,2.652721,11.1759,1.1909945,0.4421201666666667,1.8626500000000001,0.30900550000000004,0.4421201666666667,3.0,1.0,2.0,0.0,3.0,0.0,5.0,2.140403,0.787602,5.1044,0.7134676666666667,0.262534,1.7014666666666667,0.2865323333333333,0.262534,3.0,2.0,1.0,0.0,6.0,0.0,7.0,5.005564,1.865119,6.0715,1.6685213333333333,0.6217063333333334,2.0238333333333336,0.3314786666666667,0.6217063333333334
Torino,6.0,3.0,2.0,1.0,10.0,8.0,11.0,8.093745,10.509523999999999,6.725099999999999,1.3489575,1.7515873333333332,1.12085,0.3177091666666667,0.4182539999999999,3.0,1.0,1.0,1.0,4.0,4.0,4.0,3.441373,6.9957199999999995,1.6320000000000001,1.1471243333333334,2.3319066666666664,0.544,0.18620899999999985,0.9985733333333331,3.0,2.0,1.0,0.0,6.0,4.0,7.0,4.652372,3.5138040000000004,5.0931,1.5507906666666667,1.1712680000000002,1.6977,0.44920933333333335,-0.16206533333333306
AC Milan,6.0,3.0,2.0,1.0,14.0,7.0,11.0,12.92008,7.335857,12.030899999999999,2.1533466666666667,1.2226428333333332,2.00515,0.17998666666666674,0.055976166666666494,3.0,2.0,1.0,0.0,9.0,2.0,7.0,6.72203,1.602145,7.8019,2.240676666666667,0.5340483333333333,2.600633333333333,0.7593233333333331,-0.13261833333333328,3.0,1.0,1.0,1.0,5.0,5.0,4.0,6.19805,5.733712,4.229000000000001,2.0660166666666666,1.9112373333333332,1.409666666666667,-0.39934999999999987,0.2445706666666665
Inter,6.0,3.0,2.0,1.0,13.0,7.0,11.0,11.830042,7.786010999999999,11.3574,1.9716736666666668,1.2976685,1.8929,0.19499299999999975,0.13100183333333315,3.0,2.0,0.0,1.0,7.0,2.0,6.0,5.710731999999999,4.270576,5.3771,1.903577333333333,1.4235253333333333,1.7923666666666669,0.42975600000000047,0.7568586666666667,3.0,1.0,2.0,0.0,6.0,5.0,5.0,6.1193100000000005,3.515435,5.9803,2.0397700000000003,1.1718116666666667,1.9934333333333332,-0.039770000000000305,-0.49485500000000004
Empoli,6.0,2.0,4.0,0.0,5.0,2.0,10.0,6.846062000000001,7.396021999999999,7.476800000000001,1.1410103333333335,1.2326703333333333,1.2461333333333335,-0.3076770000000001,0.899337,3.0,0.0,3.0,0.0,0.0,0.0,3.0,1.6276020000000002,2.308252,3.4003,0.5425340000000001,0.7694173333333333,1.1334333333333333,-0.5425340000000001,0.7694173333333333,3.0,2.0,1.0,0.0,5.0,2.0,7.0,5.21846,5.087770000000001,4.076499999999999,1.7394866666666668,1.6959233333333337,1.3588333333333331,-0.0728200000000001,1.029256666666667
Lazio,6.0,3.0,1.0,2.0,12.0,10.0,10.0,11.529119999999999,7.1323099999999995,11.876999999999999,1.92152,1.1887183333333333,1.9794999999999998,0.0784800000000001,-0.4779483333333334,3.0,2.0,1.0,0.0,7.0,4.0,7.0,6.454330000000001,2.665345,7.0715,2.1514433333333334,0.8884483333333333,2.3571666666666666,0.1818900000000001,-0.444885,3.0,1.0,0.0,2.0,5.0,6.0,3.0,5.07479,4.466965,4.8055,1.6915966666666666,1.4889883333333334,1.6018333333333334,-0.024929999999999897,-0.5110116666666666
Udinese,6.0,3.0,1.0,2.0,9.0,10.0,10.0,7.843137,12.40038,5.5150999999999994,1.3071895,2.06673,0.9191833333333332,0.1928105,0.40006333333333344,3.0,2.0,0.0,1.0,5.0,4.0,6.0,3.285158,5.6447,2.4393,1.0950526666666667,1.8815666666666668,0.8130999999999999,0.5716140000000001,0.5482333333333336,3.0,1.0,1.0,1.0,4.0,6.0,4.0,4.557979,6.75568,3.0757999999999996,1.5193263333333331,2.2518933333333333,1.0252666666666665,-0.18599299999999985,0.2518933333333333
Roma,6.0,2.0,3.0,1.0,7.0,4.0,9.0,10.935300999999999,8.94848,9.479300000000002,1.8225501666666666,1.4914133333333333,1.5798833333333338,-0.6558834999999998,0.8247466666666666,3.0,2.0,0.0,1.0,6.0,3.0,6.0,6.598269999999999,5.630828,4.8043000000000005,2.1994233333333333,1.8769426666666666,1.6014333333333335,-0.19942333333333329,0.8769426666666666,3.0,0.0,3.0,0.0,1.0,1.0,3.0,4.337031,3.317652,4.675000000000001,1.4456769999999999,1.1058839999999999,1.5583333333333336,-1.1123436666666666,0.7725506666666666
Como,6.0,2.0,2.0,2.0,9.0,11.0,8.0,8.430701000000001,7.5479,8.5577,1.4051168333333335,1.2579833333333335,1.4262833333333333,0.09488316666666652,-0.5753499999999998,2.0,1.0,1.0,0.0,5.0,4.0,4.0,3.93275,2.70527,3.6334,1.966375,1.352635,1.8167,0.533625,-0.647365,4.0,1.0,1.0,2.0,4.0,7.0,4.0,4.4979510000000005,4.84263,4.9243,1.1244877500000001,1.2106575,1.231075,-0.12448775000000012,-0.5393425000000001
