Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Barcelona,3.0,3.0,0.0,0.0,20.0,3.0,17.0,9.0,3.0,15.5,1.2,14.3,4.76,5.166666666666667,0.39999999999999997,1.5,-0.6000000000000001,4.0,4.0,0.0,0.0,16.0,2.0,14.0,12.0,3.0,15.6,2.0,13.7,3.42,3.9,0.5,0.10000000000000009,0.0
Real Madrid,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,2.33,5.3,2.5,2.8,0.93,1.7666666666666666,0.8333333333333334,-0.43333333333333335,0.5,4.0,4.0,0.0,0.0,13.0,1.0,12.0,12.0,3.0,12.0,2.1,9.9,2.46,3.0,0.525,0.25,0.275
Atlético Madrid,4.0,4.0,0.0,0.0,9.0,1.0,8.0,12.0,3.0,7.3,2.5,4.9,1.21,1.825,0.625,0.42500000000000004,0.375,3.0,2.0,1.0,0.0,7.0,1.0,6.0,7.0,2.33,4.2,3.0,1.3,0.43,1.4000000000000001,1.0,0.9333333333333333,0.6666666666666667
Levante Planas,4.0,3.0,1.0,0.0,4.0,0.0,4.0,10.0,2.5,6.8,1.2,5.6,1.41,1.7,0.3,-0.7,0.3,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,1.33,3.7,2.3,1.5,0.49,1.2333333333333334,0.7666666666666666,-0.2333333333333334,-0.2333333333333334
Real Sociedad,2.0,2.0,0.0,0.0,6.0,1.0,5.0,6.0,3.0,4.2,1.9,2.3,1.15,2.1,0.95,0.8999999999999999,0.44999999999999996,5.0,2.0,0.0,3.0,7.0,8.0,-1.0,6.0,1.2,4.5,7.2,-2.7,-0.54,0.9,1.44,0.4999999999999999,-0.16000000000000014
Athletic Club,3.0,1.0,1.0,1.0,3.0,4.0,-1.0,4.0,1.33,3.4,3.1,0.3,0.1,1.1333333333333333,1.0333333333333334,-0.1333333333333333,-0.2999999999999998,4.0,2.0,1.0,1.0,5.0,5.0,0.0,7.0,1.75,3.3,4.1,-0.8,-0.21,0.825,1.025,0.42500000000000004,-0.2250000000000001
Sevilla,4.0,2.0,0.0,2.0,4.0,4.0,0.0,6.0,1.5,2.5,5.9,-3.3,-0.83,0.625,1.475,0.375,0.4750000000000001,3.0,1.0,1.0,1.0,4.0,5.0,-1.0,4.0,1.33,3.9,3.5,0.4,0.13,1.3,1.1666666666666667,0.033333333333333215,-0.5
UDG Tenerife,3.0,1.0,1.0,1.0,5.0,5.0,0.0,4.0,1.33,2.7,5.0,-2.3,-0.78,0.9,1.6666666666666667,0.7666666666666667,0.0,4.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0,1.25,3.1,4.0,-0.9,-0.23,0.775,1.0,-0.275,0.5
Eibar,5.0,2.0,1.0,2.0,5.0,5.0,0.0,7.0,1.4,3.5,2.7,0.8,0.15,0.7,0.54,0.30000000000000004,-0.45999999999999996,2.0,0.0,0.0,2.0,1.0,4.0,-3.0,0.0,0.0,0.8,2.5,-1.7,-0.86,0.4,1.25,0.09999999999999998,-0.75
Dep La Coruña,4.0,1.0,2.0,1.0,3.0,5.0,-2.0,5.0,1.25,3.5,7.2,-3.8,-0.95,0.875,1.8,-0.125,0.55,3.0,0.0,1.0,2.0,1.0,3.0,-2.0,1.0,0.33,0.7,6.0,-5.3,-1.77,0.2333333333333333,2.0,0.1,1.0
