Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Malmö,15.0,13.0,1.0,1.0,38.0,7.0,31.0,40.0,2.67,2.533333333333333,0.4666666666666667,15.0,6.0,7.0,2.0,29.0,18.0,11.0,25.0,1.67,1.9333333333333333,1.2
Hammarby,15.0,9.0,4.0,2.0,28.0,12.0,16.0,31.0,2.07,1.8666666666666667,0.8,15.0,7.0,2.0,6.0,20.0,13.0,7.0,23.0,1.53,1.3333333333333333,0.8666666666666667
AIK Stockholm,15.0,10.0,1.0,4.0,29.0,15.0,14.0,31.0,2.07,1.9333333333333333,1.0,15.0,7.0,2.0,6.0,17.0,26.0,-9.0,23.0,1.53,1.1333333333333333,1.7333333333333334
Djurgården,15.0,8.0,4.0,3.0,21.0,15.0,6.0,28.0,1.87,1.4,1.0,15.0,8.0,1.0,6.0,24.0,20.0,4.0,25.0,1.67,1.6,1.3333333333333333
Mjällby,15.0,9.0,5.0,1.0,28.0,16.0,12.0,32.0,2.13,1.8666666666666667,1.0666666666666667,15.0,5.0,3.0,7.0,16.0,19.0,-3.0,18.0,1.2,1.0666666666666667,1.2666666666666666
GAIS,15.0,9.0,4.0,2.0,22.0,11.0,11.0,31.0,2.07,1.4666666666666666,0.7333333333333333,15.0,5.0,2.0,8.0,14.0,23.0,-9.0,17.0,1.13,0.9333333333333333,1.5333333333333334
Elfsborg,15.0,9.0,3.0,3.0,32.0,16.0,16.0,30.0,2.0,2.1333333333333333,1.0666666666666667,15.0,4.0,3.0,8.0,20.0,28.0,-8.0,15.0,1.0,1.3333333333333333,1.8666666666666667
Häcken,15.0,6.0,3.0,6.0,31.0,25.0,6.0,21.0,1.4,2.066666666666667,1.6666666666666667,15.0,6.0,3.0,6.0,23.0,26.0,-3.0,21.0,1.4,1.5333333333333334,1.7333333333333334
Sirius,15.0,6.0,3.0,6.0,27.0,22.0,5.0,21.0,1.4,1.8,1.4666666666666666,15.0,6.0,2.0,7.0,20.0,24.0,-4.0,20.0,1.33,1.3333333333333333,1.6
Brommapojkarna,15.0,4.0,5.0,6.0,20.0,27.0,-7.0,17.0,1.13,1.3333333333333333,1.8,15.0,4.0,5.0,6.0,26.0,26.0,0.0,17.0,1.13,1.7333333333333334,1.7333333333333334
Norrköping,15.0,6.0,2.0,7.0,19.0,27.0,-8.0,20.0,1.33,1.2666666666666666,1.8,15.0,3.0,5.0,7.0,17.0,30.0,-13.0,14.0,0.93,1.1333333333333333,2.0
Halmstad,15.0,7.0,2.0,6.0,19.0,14.0,5.0,23.0,1.53,1.2666666666666666,0.9333333333333333,15.0,3.0,1.0,11.0,13.0,36.0,-23.0,10.0,0.67,0.8666666666666667,2.4
Göteborg,15.0,3.0,6.0,6.0,14.0,20.0,-6.0,15.0,1.0,0.9333333333333333,1.3333333333333333,15.0,4.0,4.0,7.0,19.0,23.0,-4.0,16.0,1.07,1.2666666666666666,1.5333333333333334
Värnamo,15.0,2.0,4.0,9.0,14.0,27.0,-13.0,10.0,0.67,0.9333333333333333,1.8,15.0,5.0,6.0,4.0,16.0,13.0,3.0,21.0,1.4,1.0666666666666667,0.8666666666666667
Kalmar,15.0,4.0,2.0,9.0,19.0,29.0,-10.0,14.0,0.93,1.2666666666666666,1.9333333333333333,15.0,4.0,4.0,7.0,19.0,29.0,-10.0,16.0,1.07,1.2666666666666666,1.9333333333333333
Västerås,15.0,4.0,3.0,8.0,15.0,21.0,-6.0,15.0,1.0,1.0,1.4,15.0,2.0,2.0,11.0,11.0,22.0,-11.0,8.0,0.53,0.7333333333333333,1.4666666666666666
