Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Galatasaray,5.0,4.0,1.0,0.0,14.0,5.0,9.0,13.0,2.6,2.8,1.0,4.0,4.0,0.0,0.0,13.0,3.0,10.0,12.0,3.0,3.25,0.75
Beşiktaş,4.0,4.0,0.0,0.0,10.0,3.0,7.0,12.0,3.0,2.5,0.75,4.0,2.0,2.0,0.0,7.0,2.0,5.0,8.0,2.0,1.75,0.5
Samsunspor,5.0,2.0,1.0,2.0,8.0,8.0,0.0,7.0,1.4,1.6,1.6,4.0,4.0,0.0,0.0,8.0,1.0,7.0,12.0,3.0,2.0,0.25
Fenerbahçe,3.0,2.0,0.0,1.0,5.0,3.0,2.0,6.0,2.0,1.6666666666666667,1.0,5.0,3.0,2.0,0.0,13.0,4.0,9.0,11.0,2.2,2.6,0.8
Eyüpspor,4.0,3.0,1.0,0.0,8.0,3.0,5.0,10.0,2.5,2.0,0.75,5.0,1.0,2.0,2.0,6.0,7.0,-1.0,5.0,1.0,1.2,1.4
Başakşehir,3.0,2.0,1.0,0.0,10.0,5.0,5.0,7.0,2.33,3.3333333333333335,1.6666666666666667,5.0,2.0,1.0,2.0,4.0,5.0,-1.0,7.0,1.4,0.8,1.0
Göztepe,4.0,3.0,1.0,0.0,10.0,4.0,6.0,10.0,2.5,2.5,1.0,4.0,0.0,2.0,2.0,4.0,6.0,-2.0,2.0,0.5,1.0,1.5
Trabzonspor,4.0,2.0,2.0,0.0,7.0,5.0,2.0,8.0,2.0,1.75,1.25,4.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,1.0,0.25,0.25
Konyaspor,4.0,1.0,2.0,1.0,3.0,3.0,0.0,5.0,1.25,0.75,0.75,5.0,2.0,0.0,3.0,7.0,10.0,-3.0,6.0,1.2,1.4,2.0
Sivasspor,5.0,2.0,1.0,2.0,7.0,7.0,0.0,7.0,1.4,1.4,1.4,4.0,1.0,1.0,2.0,4.0,6.0,-2.0,4.0,1.0,1.0,1.5
Kasımpaşa,5.0,0.0,3.0,2.0,4.0,7.0,-3.0,3.0,0.6,0.8,1.4,4.0,2.0,2.0,0.0,7.0,5.0,2.0,8.0,2.0,1.75,1.25
Rizespor,5.0,1.0,1.0,3.0,3.0,9.0,-6.0,4.0,0.8,0.6,1.8,4.0,2.0,0.0,2.0,3.0,7.0,-4.0,6.0,1.5,0.75,1.75
BB Bodrumspor,5.0,2.0,0.0,3.0,6.0,5.0,1.0,6.0,1.2,1.2,1.0,4.0,1.0,1.0,2.0,2.0,6.0,-4.0,4.0,1.0,0.5,1.5
Alanyaspor,5.0,1.0,3.0,1.0,4.0,4.0,0.0,6.0,1.2,0.8,0.8,4.0,1.0,0.0,3.0,4.0,8.0,-4.0,3.0,0.75,1.0,2.0
Antalyaspor,5.0,2.0,1.0,2.0,5.0,8.0,-3.0,7.0,1.4,1.0,1.6,4.0,0.0,1.0,3.0,5.0,11.0,-6.0,1.0,0.25,1.25,2.75
Gaziantep FK,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,2.0,0.67,0.3333333333333333,0.6666666666666666,5.0,1.0,1.0,3.0,8.0,11.0,-3.0,4.0,0.8,1.6,2.2
Kayserispor,4.0,0.0,2.0,2.0,5.0,9.0,-4.0,2.0,0.5,1.25,2.25,4.0,0.0,3.0,1.0,3.0,6.0,-3.0,3.0,0.75,0.75,1.5
Hatayspor,4.0,0.0,2.0,2.0,2.0,6.0,-4.0,2.0,0.5,0.5,1.5,4.0,0.0,1.0,3.0,5.0,8.0,-3.0,1.0,0.25,1.25,2.0
Adana Demirspor,4.0,0.0,0.0,4.0,3.0,12.0,-9.0,0.0,0.0,0.75,3.0,4.0,0.0,1.0,3.0,4.0,8.0,-4.0,1.0,0.25,1.0,2.0
