Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,H_GF per Game_x,H_GA per Game_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,A_GF per Game_y,A_GA per Game_y
Peñarol,14.0,9.0,5.0,0.0,23.0,3.0,20.0,32.0,2.29,1.6428571428571428,0.21428571428571427,14.0,11.0,1.0,2.0,30.0,12.0,18.0,34.0,2.43,2.142857142857143,0.8571428571428571
Nacional,15.0,11.0,3.0,1.0,30.0,13.0,17.0,36.0,2.4,2.0,0.8666666666666667,13.0,8.0,4.0,1.0,31.0,13.0,18.0,28.0,2.15,2.3846153846153846,1.0
Defensor,14.0,6.0,4.0,4.0,26.0,17.0,9.0,22.0,1.57,1.8571428571428572,1.2142857142857142,14.0,6.0,5.0,3.0,20.0,13.0,7.0,23.0,1.64,1.4285714285714286,0.9285714285714286
Boston River,15.0,8.0,3.0,4.0,24.0,18.0,6.0,27.0,1.8,1.6,1.2,13.0,6.0,2.0,5.0,13.0,13.0,0.0,20.0,1.54,1.0,1.0
Progreso,14.0,7.0,1.0,6.0,19.0,21.0,-2.0,22.0,1.57,1.3571428571428572,1.5,14.0,2.0,6.0,6.0,16.0,24.0,-8.0,12.0,0.86,1.1428571428571428,1.7142857142857142
Cerro Largo,11.0,4.0,2.0,5.0,12.0,14.0,-2.0,14.0,1.27,1.0909090909090908,1.2727272727272727,17.0,6.0,5.0,6.0,14.0,15.0,-1.0,23.0,1.35,0.8235294117647058,0.8823529411764706
Racing,14.0,3.0,4.0,7.0,12.0,15.0,-3.0,13.0,0.93,0.8571428571428571,1.0714285714285714,14.0,5.0,6.0,3.0,22.0,20.0,2.0,21.0,1.5,1.5714285714285714,1.4285714285714286
Liverpool,15.0,3.0,6.0,6.0,15.0,20.0,-5.0,15.0,1.0,1.0,1.3333333333333333,13.0,3.0,3.0,7.0,15.0,19.0,-4.0,12.0,0.92,1.1538461538461537,1.4615384615384615
Wanderers,14.0,7.0,2.0,5.0,18.0,16.0,2.0,23.0,1.64,1.2857142857142858,1.1428571428571428,14.0,5.0,3.0,6.0,17.0,21.0,-4.0,18.0,1.29,1.2142857142857142,1.5
Cerro,15.0,5.0,5.0,5.0,21.0,18.0,3.0,20.0,1.33,1.4,1.2,13.0,3.0,2.0,8.0,9.0,23.0,-14.0,11.0,0.85,0.6923076923076923,1.7692307692307692
Maldonado,15.0,2.0,2.0,11.0,12.0,23.0,-11.0,8.0,0.53,0.8,1.5333333333333334,13.0,3.0,5.0,5.0,11.0,16.0,-5.0,14.0,1.08,0.8461538461538461,1.2307692307692308
Rampla Juniors,12.0,5.0,3.0,4.0,14.0,13.0,1.0,18.0,1.5,1.1666666666666667,1.0833333333333333,16.0,4.0,3.0,9.0,15.0,32.0,-17.0,15.0,0.94,0.9375,2.0
River Plate,14.0,4.0,6.0,4.0,27.0,27.0,0.0,18.0,1.29,1.9285714285714286,1.9285714285714286,14.0,3.0,3.0,8.0,11.0,20.0,-9.0,12.0,0.86,0.7857142857142857,1.4285714285714286
Danubio,14.0,6.0,5.0,3.0,16.0,14.0,2.0,23.0,1.64,1.1428571428571428,1.0,14.0,5.0,4.0,5.0,18.0,19.0,-1.0,19.0,1.36,1.2857142857142858,1.3571428571428572
Fénix,15.0,5.0,3.0,7.0,13.0,16.0,-3.0,18.0,1.2,0.8666666666666667,1.0666666666666667,13.0,3.0,3.0,7.0,13.0,17.0,-4.0,12.0,0.92,1.0,1.3076923076923077
Miramar Misiones,13.0,2.0,5.0,6.0,16.0,20.0,-4.0,11.0,0.85,1.2307692307692308,1.5384615384615385,15.0,5.0,4.0,6.0,13.0,21.0,-8.0,19.0,1.27,0.8666666666666667,1.4
